Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.914134972170686,1.4908749653289608
original,AnnSel,fr,-14.344573283858997,1.962539174329494
original,AnnSel,de,-14.014900278293137,1.6310418262998496
original,AnnSel,es,-13.746424706246135,1.6343477799128836
original,AnnSel,zh,-13.188392011634198,3.075926933651707
original,AnnSel,ja,-13.165759435876623,1.6115911744593976
original,AnnSel,ko,-10.183240603064956,1.4077620938302695
distractor ablation,AnnSel,en,-11.968069727891157,1.4841650452651018
distractor ablation,AnnSel,fr,-14.555859616573901,1.9957701811448059
distractor ablation,AnnSel,de,-14.269762677798392,1.775323211910096
distractor ablation,AnnSel,es,-14.122619047619049,1.6441743698481646
distractor ablation,AnnSel,zh,-13.311722132034632,3.1435349588430435
distractor ablation,AnnSel,ja,-13.391599025974026,1.497483742193641
distractor ablation,AnnSel,ko,-10.118044588746143,1.4090228904448634
amplification,AnnSel,en,-11.579479746444033,1.4471346297492995
amplification,AnnSel,fr,-13.109825293753866,1.8237540299574444
amplification,AnnSel,de,-13.128830395794681,1.971403311454665
amplification,AnnSel,es,-12.559620439084725,1.6435107293852471
amplification,AnnSel,zh,-11.10438649891775,2.227378795431936
amplification,AnnSel,ja,-12.053400635822511,0.5593223307605701
amplification,AnnSel,ko,-10.128277351742698,1.3863525089586666
