Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.266268552875696,1.2614721131044095
original,AnnSel,fr,-13.069523036487324,1.7922310662725518
original,AnnSel,de,-11.274551638837353,0.9262990879937385
original,AnnSel,es,-12.439803648732221,1.0759952389924476
original,AnnSel,zh,-10.668518330627705,1.8876141413470633
original,AnnSel,ja,-11.045466382575757,1.3875522838245062
original,AnnSel,ko,-10.113335138742997,1.4904650396998198
distractor ablation,AnnSel,en,-11.283186456400742,1.2563678742651543
distractor ablation,AnnSel,fr,-13.526839826839828,1.6863913366102632
distractor ablation,AnnSel,de,-11.041856060606062,0.913082474970836
distractor ablation,AnnSel,es,-12.934805967841681,1.040643021077645
distractor ablation,AnnSel,zh,-11.068887817911255,2.0233254237503124
distractor ablation,AnnSel,ja,-11.29322409361472,1.4505513499662985
distractor ablation,AnnSel,ko,-9.98720837333957,1.364264279357149
amplification,AnnSel,en,-11.017513141620285,1.1266260590419426
amplification,AnnSel,fr,-12.135764533085961,1.6859887930061976
amplification,AnnSel,de,-10.856555349412492,1.0525124471040805
amplification,AnnSel,es,-11.40871212121212,0.9606148481658413
amplification,AnnSel,zh,-9.95019108495671,1.6347244134969505
amplification,AnnSel,ja,-10.921986607142857,1.2151988180308366
amplification,AnnSel,ko,-10.106155857118239,1.4687590027072637
feature-intervention,AnnSel,en,-12.03881029684601,1.4211398034310683
feature-intervention,AnnSel,fr,-15.08265306122449,1.80643345225705
feature-intervention,AnnSel,de,-10.81066403834261,1.0048109344984053
feature-intervention,AnnSel,es,-14.65745980210266,1.2538326605556958
feature-intervention,AnnSel,zh,-12.949266574083468,1.8669613943232486
feature-intervention,AnnSel,ja,-12.896246575689934,1.3520430188021004
feature-intervention,AnnSel,ko,-11.665174057904412,2.0486096225903623
