Experiment,Method,Run,mean,stdev
original,AnnSel,en,-12.277176097711813,1.7866696409088243
original,AnnSel,fr,-14.657683982683983,2.7613509578026902
original,AnnSel,de,-11.725417439703154,0.9906357083691779
original,AnnSel,es,-13.914865491651204,2.5453829447160534
original,AnnSel,zh,-12.064951975108226,2.584574454650868
original,AnnSel,ja,-12.053449675324675,2.033740447333106
original,AnnSel,ko,-11.220043077655868,2.2799572864497275
distractor ablation,AnnSel,en,-12.325653215831787,1.7802602984459048
distractor ablation,AnnSel,fr,-14.984632034632034,2.531467306999858
distractor ablation,AnnSel,de,-11.42620980210266,1.3886088120518385
distractor ablation,AnnSel,es,-14.281068336425479,2.441466981079625
distractor ablation,AnnSel,zh,-12.257157230790044,2.78770169706028
distractor ablation,AnnSel,ja,-12.259953327922078,2.0099034298836607
distractor ablation,AnnSel,ko,-11.289236621162136,2.134762230319576
amplification,AnnSel,en,-11.994329777365492,1.6903460427279962
amplification,AnnSel,fr,-12.878327922077924,2.0670278722702338
amplification,AnnSel,de,-11.447132034632034,0.971693540839799
amplification,AnnSel,es,-12.366941094619666,1.9330912891784406
amplification,AnnSel,zh,-11.394395968614718,2.23206675684236
amplification,AnnSel,ja,-11.763736133658009,1.3691326972128202
amplification,AnnSel,ko,-11.233152809463629,2.207064521199103
