Experiment,Method,Run,mean,stdev
original,FreqSel,en,-12.277176097711813,1.7866696409088243
original,FreqSel,fr,-14.657683982683983,2.7613509578026902
original,FreqSel,de,-11.725417439703154,0.9906357083691779
original,FreqSel,es,-13.914865491651204,2.5453829447160534
original,FreqSel,zh,-12.064951975108226,2.584574454650868
original,FreqSel,ja,-12.053449675324675,2.033740447333106
original,FreqSel,ko,-11.220043077655868,2.2799572864497275
distractor ablation,FreqSel,en,-12.359577922077921,1.72878188191531
distractor ablation,FreqSel,fr,-14.953841991341992,2.5317198978356825
distractor ablation,FreqSel,de,-11.50367192331478,1.4824474012428648
distractor ablation,FreqSel,es,-14.267223252937539,2.426265702834251
distractor ablation,FreqSel,zh,-12.470834178841992,2.7580806535799764
distractor ablation,FreqSel,ja,-12.150065949675325,1.9412717897861387
distractor ablation,FreqSel,ko,-11.564658263818222,2.1914106730733036
amplification,FreqSel,en,-12.351217532467532,1.6562983561370472
amplification,FreqSel,fr,-12.855774582560297,2.198084354502049
amplification,FreqSel,de,-11.612476808905381,1.1477842600501211
amplification,FreqSel,es,-12.281988249845394,1.6488157435976984
amplification,FreqSel,zh,-11.501614921536797,2.312762294743641
amplification,FreqSel,ja,-11.457643398268399,1.8123119690293574
amplification,FreqSel,ko,-10.407991976697906,1.983529066219816
