Experiment,Method,Run,mean,stdev
original,ValSel,en,-11.146304885590599,0.9604938105642383
original,ValSel,fr,-12.644631261595547,1.3087950635583263
original,ValSel,de,-12.36601345083488,1.7125646385224014
original,ValSel,es,-9.94519219619666,1.2714778477359554
original,ValSel,zh,-10.629608022186147,1.715382653357741
original,ValSel,ja,-10.832185132575757,1.3138628478966952
original,ValSel,ko,-10.526339166037507,1.895741187824274
distractor ablation,ValSel,en,-11.222286641929498,0.7065762744067349
distractor ablation,ValSel,fr,-14.088141620284476,1.0177203671013908
distractor ablation,ValSel,de,-13.261467996289424,1.345521694833564
distractor ablation,ValSel,es,-10.344366496598639,1.4180283031187955
distractor ablation,ValSel,zh,-11.455631933170995,1.7660456628484436
distractor ablation,ValSel,ja,-11.377516233766233,1.2287883013005023
distractor ablation,ValSel,ko,-11.53251988173199,2.044887059177096
amplification,ValSel,en,-12.09230055658627,0.7149462751293363
amplification,ValSel,fr,-12.705983302411875,1.029400703316363
amplification,ValSel,de,-12.70019325912183,1.3522850238407875
amplification,ValSel,es,-9.572673643320964,1.2026085222689058
amplification,ValSel,zh,-10.186493844696969,1.3515744294218859
amplification,ValSel,ja,-10.3802996482684,1.0774190862433397
amplification,ValSel,ko,-9.606350708007811,1.650992807493372
feature-intervention,ValSel,en,-12.049211502782933,0.9996709737552006
feature-intervention,ValSel,fr,-14.854120284477428,0.8639668585030447
feature-intervention,ValSel,de,-14.418344155844157,1.3000162767609706
feature-intervention,ValSel,es,-10.104062306740877,1.5724766214148207
feature-intervention,ValSel,zh,-11.315452938988097,1.5762495868308701
feature-intervention,ValSel,ja,-11.663186553030302,1.0534965622446848
feature-intervention,ValSel,ko,-11.555373589865635,2.002270696679396
