Experiment,Method,Run,mean,stdev
original,FreqSel,en,-10.970176252319108,1.0958486518579265
original,FreqSel,fr,-13.097928262213978,1.7044907546693724
original,FreqSel,de,-11.19538110698825,0.6370035419752399
original,FreqSel,es,-12.497963048855906,1.2870076085764446
original,FreqSel,zh,-11.16400331439394,2.1866397331579335
original,FreqSel,ja,-11.30720542478355,1.5825252730327015
original,FreqSel,ko,-10.504827120057007,1.6866420614375086
distractor ablation,FreqSel,en,-11.111251546072975,0.9964325013238288
distractor ablation,FreqSel,fr,-13.482173778602348,1.4799378167854718
distractor ablation,FreqSel,de,-11.080233457019173,0.6352035070685005
distractor ablation,FreqSel,es,-13.054676870748299,1.3307990560986245
distractor ablation,FreqSel,zh,-11.553004937770563,2.341032212411218
distractor ablation,FreqSel,ja,-11.381271983225108,1.5284710316387806
distractor ablation,FreqSel,ko,-10.879017429725796,1.7265216599100495
amplification,FreqSel,en,-11.075398113790971,1.0179406926103751
amplification,FreqSel,fr,-11.892644557823129,1.5692920754818982
amplification,FreqSel,de,-11.020168521954236,0.8456418702934799
amplification,FreqSel,es,-11.482668521954237,0.8603111282715659
amplification,FreqSel,zh,-10.738551812770563,2.1282073641790427
amplification,FreqSel,ja,-10.902495941558442,1.6575777341958058
amplification,FreqSel,ko,-9.814105303681531,1.4533440759956717
feature-intervention,FreqSel,en,-11.56026592455164,0.867903895110187
feature-intervention,FreqSel,fr,-14.583944032158318,1.5776789113744816
feature-intervention,FreqSel,de,-11.07990491651206,0.8557337678213612
feature-intervention,FreqSel,es,-13.562005256648115,1.1384399344895892
feature-intervention,FreqSel,zh,-12.251860119047619,2.187693580585465
feature-intervention,FreqSel,ja,-12.251343513257577,1.5195816758383351
feature-intervention,FreqSel,ko,-11.216883683405003,1.8584190970834524
