Experiment,Method,Run,mean,stdev
original,AnnSel,de,-12.4034206864564,1.4490500064936407
original,AnnSel,en,-10.054839208410637,0.8325904710224485
original,AnnSel,es,-10.088412183055041,1.4711466507162658
original,AnnSel,fr,-12.238323283858998,1.4134975143839712
original,AnnSel,ja,-9.946372767857143,0.9435484454770222
original,AnnSel,ko,-9.51982930501302,1.3225694707159292
original,AnnSel,zh,-9.13080018939394,0.9917573072505638
original,ValSel,de,-12.4034206864564,1.4490500064936407
original,ValSel,en,-10.054839208410637,0.8325904710224485
original,ValSel,es,-10.088412183055041,1.4711466507162658
original,ValSel,fr,-12.238323283858998,1.4134975143839712
original,ValSel,ja,-9.946372767857143,0.9435484454770222
original,ValSel,ko,-9.51982930501302,1.3225694707159292
original,ValSel,zh,-9.13080018939394,0.9917573072505638
original,FreqSel,de,-12.4034206864564,1.4490500064936407
original,FreqSel,en,-10.054839208410637,0.8325904710224485
original,FreqSel,es,-10.088412183055041,1.4711466507162658
original,FreqSel,fr,-12.238323283858998,1.4134975143839712
original,FreqSel,ja,-9.946372767857143,0.9435484454770222
original,FreqSel,ko,-9.51982930501302,1.3225694707159292
original,FreqSel,zh,-9.13080018939394,0.9917573072505638
distractor ablation,AnnSel,de,-12.694190630797774,1.4097175617860236
distractor ablation,AnnSel,en,-10.072406462585034,0.918814427464954
distractor ablation,AnnSel,es,-10.523521567717996,1.4962344656061137
distractor ablation,AnnSel,fr,-12.513226654298082,1.219528923458206
distractor ablation,AnnSel,ja,-10.208291057900434,0.9863682191713173
distractor ablation,AnnSel,ko,-9.578189813523066,1.4464189853965586
distractor ablation,AnnSel,zh,-9.260585768398268,0.9909072869294004
distractor ablation,ValSel,de,-13.030515615337043,1.1839629858298342
distractor ablation,ValSel,en,-9.973716759431044,0.7940745201194573
distractor ablation,ValSel,es,-11.504727118119975,1.6360908667558618
distractor ablation,ValSel,fr,-13.92840909090909,1.4135530319067815
distractor ablation,ValSel,ja,-10.494559997294372,1.2473315906377982
distractor ablation,ValSel,ko,-10.823540167715036,1.8925392417367122
distractor ablation,ValSel,zh,-9.762978557900434,1.239135337532904
distractor ablation,FreqSel,de,-12.604912646876931,1.4167891926341458
distractor ablation,FreqSel,en,-10.083932436611008,0.82640585064942
distractor ablation,FreqSel,es,-10.539778525046383,1.5082252488167442
distractor ablation,FreqSel,fr,-12.494279529993817,1.2375043686675966
distractor ablation,FreqSel,ja,-10.044017180735931,0.96198267139223
distractor ablation,FreqSel,ko,-10.049628258285736,1.5398598312392742
distractor ablation,FreqSel,zh,-9.292262750270563,0.9950564912925659
amplification,AnnSel,de,-11.769248608534323,1.6258118359870801
amplification,AnnSel,en,-9.954746444032157,0.8646390547760504
amplification,AnnSel,es,-9.651478432282003,1.3951554818287544
amplification,AnnSel,fr,-11.15009276437848,0.9327877725457319
amplification,AnnSel,ja,-10.80807460768398,0.8456541612880293
amplification,AnnSel,ko,-9.486232263901655,1.3117480418230496
amplification,AnnSel,zh,-8.895013189935066,0.7408081788671749
amplification,ValSel,de,-12.693842764378477,1.698333100816705
amplification,ValSel,en,-10.67048546691404,0.8214613970694542
amplification,ValSel,es,-9.80636402288188,1.4763689317400472
amplification,ValSel,fr,-12.308182591218307,1.0204311321682042
amplification,ValSel,ja,-9.36296333874459,1.108684239212134
amplification,ValSel,ko,-8.419075396882386,1.1726158236804392
amplification,ValSel,zh,-9.232734713203465,1.1785846816655823
amplification,FreqSel,de,-11.908920841063699,1.811357562331758
amplification,FreqSel,en,-10.024219233147804,0.8041438870786458
amplification,FreqSel,es,-9.601851422387137,1.4072226009515627
amplification,FreqSel,fr,-11.115468460111318,1.0079801225758798
amplification,FreqSel,ja,-9.185447104978355,0.9239360168606497
amplification,FreqSel,ko,-8.633111871457569,1.1802225432058
amplification,FreqSel,zh,-8.711258793290044,0.6959953507553036
feature-intervention,AnnSel,de,-13.537445887445887,1.3245979312939038
feature-intervention,AnnSel,en,-11.051928726035868,1.1837964060607575
feature-intervention,AnnSel,es,-11.502442795299938,1.1165477602740614
feature-intervention,AnnSel,fr,-13.965437538651825,1.2894431039838212
feature-intervention,AnnSel,ja,-9.716044372294373,1.48292735142951
feature-intervention,AnnSel,ko,-11.075601392900909,1.685286139802272
feature-intervention,AnnSel,zh,-8.918323863636363,0.7393323897648684
feature-intervention,ValSel,de,-13.572054730983302,1.464639220251659
feature-intervention,ValSel,en,-10.793135435992578,1.3039494471134179
feature-intervention,ValSel,es,-11.560961657390228,1.0431439889793312
feature-intervention,ValSel,fr,-13.996312615955473,1.4445330179574831
feature-intervention,ValSel,ja,-10.029744994588745,1.2509667890160379
feature-intervention,ValSel,ko,-11.145674949667367,1.9754740577831071
feature-intervention,ValSel,zh,-9.099922213203463,1.0869843763826397
feature-intervention,FreqSel,de,-13.219944341372912,1.3415621236520656
feature-intervention,FreqSel,en,-10.460810915275202,1.0312202732611477
feature-intervention,FreqSel,es,-11.101260049474336,1.1248913313786748
feature-intervention,FreqSel,fr,-13.502837043908473,1.4637964478098278
feature-intervention,FreqSel,ja,-9.62706811417749,1.259383643066941
feature-intervention,FreqSel,ko,-10.948398297307206,1.995484697662226
feature-intervention,FreqSel,zh,-8.695743709415584,0.7178719131565966
