Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.62650742115028,1.1123159832464922
original,AnnSel,fr,-12.104356060606062,0.8939331142242194
original,AnnSel,de,-12.889560142238713,1.5534827661137895
original,AnnSel,es,-10.023130701144094,1.4746073542933953
original,AnnSel,zh,-9.817040381493507,1.255471096244076
original,AnnSel,ja,-9.802866274350649,0.9388989156333327
original,AnnSel,ko,-10.04411049209723,1.5501151799579311
distractor ablation,AnnSel,en,-10.542976963512677,1.0834679961476843
distractor ablation,AnnSel,fr,-12.393212739641312,0.73489834657189
distractor ablation,AnnSel,de,-13.262291280148423,1.5259264837178965
distractor ablation,AnnSel,es,-10.005190940012369,1.4668971961028394
distractor ablation,AnnSel,zh,-9.919613264339826,1.4715155385714886
distractor ablation,AnnSel,ja,-10.055840773809523,0.9528519960548906
distractor ablation,AnnSel,ko,-9.963747596206451,1.5368930040622772
amplification,AnnSel,en,-10.25394635126778,1.054770368192529
amplification,AnnSel,fr,-11.160752937538652,0.931168788566769
amplification,AnnSel,de,-11.683310142238714,1.5493665221394206
amplification,AnnSel,es,-9.525131899350649,1.3789891366127283
amplification,AnnSel,zh,-9.144649621212121,1.2184181183948433
amplification,AnnSel,ja,-9.675987554112554,0.5961208762895943
amplification,AnnSel,ko,-10.080221138748469,1.571099487308664
feature-intervention,AnnSel,en,-11.006242269635127,1.2948303914072545
feature-intervention,AnnSel,fr,-13.039162028447743,0.960870296315308
feature-intervention,AnnSel,de,-13.875200989486704,1.6130018906982049
feature-intervention,AnnSel,es,-9.469042787569574,1.380432937885232
feature-intervention,AnnSel,zh,-10.409314968885282,1.2088334959231475
feature-intervention,AnnSel,ja,-10.459889914772727,0.7888883381950937
feature-intervention,AnnSel,ko,-10.625998053029805,1.8370461686325188
