Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.05536100803958,1.0495319709254707
original,AnnSel,fr,-10.929804421768708,1.4951348415254102
original,AnnSel,de,-13.029518398268397,1.4874737651012282
original,AnnSel,es,-12.300305349412493,1.2972354031817566
original,AnnSel,zh,-10.215909090909092,1.628359833761473
original,AnnSel,ja,-9.985558712121213,1.1457809373846592
original,AnnSel,ko,-10.18139237689705,1.337205245988012
distractor ablation,AnnSel,en,-11.039799783549784,1.0125709548693906
distractor ablation,AnnSel,fr,-11.023125386518243,1.3417825557262977
distractor ablation,AnnSel,de,-13.379027520098948,1.6501487072451961
distractor ablation,AnnSel,es,-12.668421459492889,1.261674731202683
distractor ablation,AnnSel,zh,-10.346912202380953,1.7635258966845482
distractor ablation,AnnSel,ja,-10.264935064935065,1.20740613623876
distractor ablation,AnnSel,ko,-10.208396915895264,1.387324623611225
amplification,AnnSel,en,-10.798859771181199,0.9220876308781611
amplification,AnnSel,fr,-10.723720624613481,1.5026095676837181
amplification,AnnSel,de,-11.804170531849104,1.4997593113822905
amplification,AnnSel,es,-11.063922387136673,1.1800466452922638
amplification,AnnSel,zh,-9.406156994047619,1.3532114927669352
amplification,AnnSel,ja,-9.93042140151515,0.5905723580183847
amplification,AnnSel,ko,-10.171604872417717,1.3159543411674783
feature-intervention,AnnSel,en,-11.378586889301175,0.8438660471020678
feature-intervention,AnnSel,fr,-10.683302411873841,1.4640634459505075
feature-intervention,AnnSel,de,-13.850641620284478,1.369858915624322
feature-intervention,AnnSel,es,-13.72792980828695,1.340245557133283
feature-intervention,AnnSel,zh,-11.02936028814935,1.8175789164549572
feature-intervention,AnnSel,ja,-10.454688345508657,0.9883293985425606
feature-intervention,AnnSel,ko,-11.263849432595304,2.0130897383564297
