Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.274775819418677,1.143049227532586
original,FreqSel,fr,-13.579970624613482,1.2510157969899545
original,FreqSel,de,-13.372792980828695,1.2956479475965357
original,FreqSel,es,-13.256760204081631,1.0659062479254113
original,FreqSel,zh,-11.924305837391774,2.3198451105006876
original,FreqSel,ja,-12.23880800189394,1.5359934203278554
original,FreqSel,ko,-9.748428921739594,1.7766484098221356
distractor ablation,FreqSel,en,-11.277094928880643,1.1351854406162813
distractor ablation,FreqSel,fr,-13.834925788497218,1.2339048011384222
distractor ablation,FreqSel,de,-13.57536332714904,1.3260016762624558
distractor ablation,FreqSel,es,-13.59911100803958,1.146598380585157
distractor ablation,FreqSel,zh,-12.13487131358225,2.483708247845263
distractor ablation,FreqSel,ja,-12.4084407129329,1.5442798773433113
distractor ablation,FreqSel,ko,-10.224784816880854,2.1686069677613204
amplification,FreqSel,en,-11.236897031539888,1.0702698411950768
amplification,FreqSel,fr,-12.683886054421768,1.3774210848006565
amplification,FreqSel,de,-12.694202226345084,1.2541824433364808
amplification,FreqSel,es,-12.278598484848485,0.9770622118322255
amplification,FreqSel,zh,-10.272887919372295,1.674049154171682
amplification,FreqSel,ja,-10.241565205627706,0.8345293794438176
amplification,FreqSel,ko,-9.36472710788417,1.6942103533711617
feature-intervention,FreqSel,en,-11.580650896722327,1.1375640852308373
feature-intervention,FreqSel,fr,-14.176940321583178,1.2866183889664793
feature-intervention,FreqSel,de,-13.985528756957327,1.3227816246712683
feature-intervention,FreqSel,es,-13.884508348794062,1.0072552237368901
feature-intervention,FreqSel,zh,-12.544148234577921,2.240316731588239
feature-intervention,FreqSel,ja,-13.084796908820348,1.5592100229825432
feature-intervention,FreqSel,ko,-9.366110305358717,1.667998215506026
