Experiment,Method,Run,mean,stdev
original,ValSel,en,1.316875,3.100475166723594
original,ValSel,fr,-1.415625,3.4693187039490487
original,ValSel,de,-2.915625,4.128971295793893
original,ValSel,es,0.0,0.0
original,ValSel,zh,-1.8446875,3.4401259913456763
original,ValSel,ja,-3.6096875,3.934834793737704
original,ValSel,ko,1.48375,3.6189607041639493
distractor ablation,ValSel,en,1.3875,3.171932921673464
distractor ablation,ValSel,fr,-1.301875,3.5086366991671314
distractor ablation,ValSel,de,-2.950625,4.10989059205493
distractor ablation,ValSel,es,0.001875,0.01875
distractor ablation,ValSel,zh,-3.49625,3.5932058766820227
distractor ablation,ValSel,ja,-4.934375,3.9839717438040765
distractor ablation,ValSel,ko,-2.78,3.1898508364163143
amplification,ValSel,en,1.0646875,3.626801665542321
amplification,ValSel,fr,1.253125,3.499409503308156
amplification,ValSel,de,2.389375,3.34749424556879
amplification,ValSel,es,0.113125,0.40051015053531186
amplification,ValSel,zh,3.2603125,3.375914856247874
amplification,ValSel,ja,3.3571875,3.56893263112005
amplification,ValSel,ko,2.01375,3.368148910504601
feature-intervention,ValSel,en,-2.2475,2.893685436262968
feature-intervention,ValSel,fr,-3.44875,3.7253861826119397
feature-intervention,ValSel,de,-5.953125,4.4328549721273465
feature-intervention,ValSel,es,0.174375,0.6165652429902584
feature-intervention,ValSel,zh,-5.53,2.926235386183677
feature-intervention,ValSel,ja,-7.838125,3.8822746049132775
feature-intervention,ValSel,ko,-5.8828125,3.2055446330402075
