Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.160041743970314,0.9807889523838998
original,AnnSel,fr,-11.413091372912803,1.3206263500479232
original,AnnSel,de,-13.185057204700062,1.854173370628205
original,AnnSel,es,-11.764424860853433,1.281278781661905
original,AnnSel,zh,-10.76073795995671,2.0148233354792886
original,AnnSel,ja,-11.38889678030303,1.9454383325815008
original,AnnSel,ko,-9.424658754493008,1.0999722462149522
distractor ablation,AnnSel,en,-11.121478818800247,0.957178621048424
distractor ablation,AnnSel,fr,-11.518467841682128,1.3355221416048237
distractor ablation,AnnSel,de,-13.687925170068027,1.883841923403138
distractor ablation,AnnSel,es,-12.260041743970316,1.3685043188238286
distractor ablation,AnnSel,zh,-10.960235727813853,2.205349277708492
distractor ablation,AnnSel,ja,-11.594451772186147,1.9424420605261765
distractor ablation,AnnSel,ko,-9.271476006173954,1.0657569859947198
amplification,AnnSel,en,-10.876538342609772,0.9388521059226631
amplification,AnnSel,fr,-10.981520562770564,1.3568836814294325
amplification,AnnSel,de,-12.134995361781076,1.900567059487063
amplification,AnnSel,es,-10.74446892393321,1.29504582711199
amplification,AnnSel,zh,-9.577490868506493,1.5922979470414471
amplification,AnnSel,ja,-10.735841112012988,1.1559101674917078
amplification,AnnSel,ko,-9.430142951345577,1.0901821698120082
feature-intervention,AnnSel,en,-11.50558905380334,1.016773285275031
feature-intervention,AnnSel,fr,-10.986808132343848,1.3570960471474536
feature-intervention,AnnSel,de,-13.909956709956711,1.6318271607761698
feature-intervention,AnnSel,es,-13.304143475572047,1.4828687197483716
feature-intervention,AnnSel,zh,-11.056446158008658,2.2030989913241883
feature-intervention,AnnSel,ja,-11.274978016774892,1.568434798527481
feature-intervention,AnnSel,ko,-10.129183096578474,1.7920005061073427
