Experiment,Method,Run,mean,stdev
original,FreqSel,en,-9.722646103896105,0.45705643067540985
original,FreqSel,fr,-12.825722789115646,1.58296170280191
original,FreqSel,de,-13.14974876314162,1.8529286643748677
original,FreqSel,es,-11.701692949907237,1.040768216229638
original,FreqSel,zh,-9.771272997835498,1.2960249497118903
original,FreqSel,ja,-10.361843885281386,1.0599337020774495
original,FreqSel,ko,-9.923263797706582,1.6460328456899
distractor ablation,FreqSel,en,-9.833480210265924,0.4453312670535914
distractor ablation,FreqSel,fr,-13.276832096474953,1.503173791542966
distractor ablation,FreqSel,de,-13.429224644403217,1.9152903865973345
distractor ablation,FreqSel,es,-12.263168676561534,1.0457926635150716
distractor ablation,FreqSel,zh,-10.271856398809524,1.5241326790245486
distractor ablation,FreqSel,ja,-10.430708874458874,1.0672881708655626
distractor ablation,FreqSel,ko,-10.302321310604318,1.777233801463691
amplification,FreqSel,en,-9.906049010513296,0.4276831007127597
amplification,FreqSel,fr,-12.200274427953,1.7850564695985585
amplification,FreqSel,de,-12.842246444032158,2.2349099164853885
amplification,FreqSel,es,-11.233368119975264,0.926135336308017
amplification,FreqSel,zh,-9.520774147727272,1.2410307708361663
amplification,FreqSel,ja,-9.853666125541125,1.043754116406502
amplification,FreqSel,ko,-9.325171981939748,1.5233434762154292
feature-intervention,FreqSel,en,-9.870330859616574,0.4437158727002827
feature-intervention,FreqSel,fr,-13.230975572047,1.6215918390027786
feature-intervention,FreqSel,de,-13.433913110698825,1.7600763929953223
feature-intervention,FreqSel,es,-12.00772263450835,1.0273308615462136
feature-intervention,FreqSel,zh,-10.50101038284632,1.582966444236979
feature-intervention,FreqSel,ja,-10.942062364718614,1.021701655069199
feature-intervention,FreqSel,ko,-10.190270961900385,1.7469551063448818
