Experiment,Method,Run,mean,stdev
original,AnnSel,de,-12.901348948670377,1.7126107007434312
original,AnnSel,en,-10.97987012987013,0.9529666471413121
original,AnnSel,es,-11.500838744588744,1.255663592130583
original,AnnSel,fr,-10.850042517006802,1.2833707816718867
original,AnnSel,ja,-10.350656114718616,1.3353984971603674
original,AnnSel,ko,-9.906458211946887,1.302907822979429
original,AnnSel,zh,-9.820447781385282,1.45275185107597
original,ValSel,de,-12.901348948670377,1.7126107007434312
original,ValSel,en,-10.97987012987013,0.9529666471413121
original,ValSel,es,-11.500838744588744,1.255663592130583
original,ValSel,fr,-10.850042517006802,1.2833707816718867
original,ValSel,ja,-10.350656114718616,1.3353984971603674
original,ValSel,ko,-9.906458211946887,1.302907822979429
original,ValSel,zh,-9.820447781385282,1.45275185107597
original,FreqSel,de,-12.901348948670377,1.7126107007434312
original,FreqSel,en,-10.97987012987013,0.9529666471413121
original,FreqSel,es,-11.500838744588744,1.255663592130583
original,FreqSel,fr,-10.850042517006802,1.2833707816718867
original,FreqSel,ja,-10.350656114718616,1.3353984971603674
original,FreqSel,ko,-9.906458211946887,1.302907822979429
original,FreqSel,zh,-9.820447781385282,1.45275185107597
distractor ablation,AnnSel,de,-13.305090445269016,1.656152372900038
distractor ablation,AnnSel,en,-10.987874922696351,0.9219190086511111
distractor ablation,AnnSel,es,-11.927790661719232,1.2880249467100076
distractor ablation,AnnSel,fr,-11.064247062461348,1.256480743336602
distractor ablation,AnnSel,ja,-10.500257034632034,1.4197218465165358
distractor ablation,AnnSel,ko,-9.955264367709974,1.4109772853138365
distractor ablation,AnnSel,zh,-10.17773860254329,1.6367487335132136
distractor ablation,ValSel,de,-13.698558286951144,1.2877860319748566
distractor ablation,ValSel,en,-11.19531153370439,0.7047910248208875
distractor ablation,ValSel,es,-12.593769325912183,1.4308031678346176
distractor ablation,ValSel,fr,-12.918065862708719,1.359236329492739
distractor ablation,ValSel,ja,-10.75217380275974,1.3208302197288502
distractor ablation,ValSel,ko,-11.114037983357406,1.7532978332938745
distractor ablation,ValSel,zh,-10.60264475108225,1.487779870302123
distractor ablation,FreqSel,de,-13.266786487322202,1.7211777551283207
distractor ablation,FreqSel,en,-11.053227427334571,0.9306711533050189
distractor ablation,FreqSel,es,-11.964424860853432,1.2729409724788576
distractor ablation,FreqSel,fr,-11.040986394557823,1.2282243221100697
distractor ablation,FreqSel,ja,-10.414909699675324,1.3632631077781556
distractor ablation,FreqSel,ko,-10.338808203945641,1.525131084148308
distractor ablation,FreqSel,zh,-10.380631087662337,1.769454132771752
amplification,AnnSel,de,-11.89216527520099,1.7540583665660707
amplification,AnnSel,en,-10.750916048237476,0.8771244269453381
amplification,AnnSel,es,-10.541539115646259,1.2584679733744433
amplification,AnnSel,fr,-10.64071583178726,1.3352980937316754
amplification,AnnSel,ja,-10.415628382034631,0.848165350363249
amplification,AnnSel,ko,-9.91270159125662,1.2160182373450783
amplification,AnnSel,zh,-9.1426204004329,1.2430529443810345
amplification,ValSel,de,-13.073287724180583,1.47168578247503
amplification,ValSel,en,-12.059593382807668,0.640047961408136
amplification,ValSel,es,-10.753412956091527,1.1888704928113185
amplification,ValSel,fr,-11.986433209647496,1.2815254603726454
amplification,ValSel,ja,-10.100049039502165,1.0654566193568669
amplification,ValSel,ko,-9.00704662846584,1.1350615790922067
amplification,ValSel,zh,-9.419896509740258,1.14748259065795
amplification,FreqSel,de,-12.172128169449596,1.8837852976525182
amplification,FreqSel,en,-11.054634353741497,0.7554599550940306
amplification,FreqSel,es,-10.650448361162647,1.1278803106389548
amplification,FreqSel,fr,-10.547534013605443,1.2793197454407825
amplification,FreqSel,ja,-9.861150568181818,1.3685620485008148
amplification,FreqSel,ko,-9.157157940690924,1.1317952327220802
amplification,FreqSel,zh,-9.467811485389609,1.3646141119437267
feature-intervention,AnnSel,de,-13.795060296846012,1.5152979146553867
feature-intervention,AnnSel,en,-11.339467377860235,0.8822788173360472
feature-intervention,AnnSel,es,-13.08732993197279,1.5885136758912977
feature-intervention,AnnSel,fr,-10.62561456400742,1.3402585651873762
feature-intervention,AnnSel,ja,-10.70972799986472,1.155394600828223
feature-intervention,AnnSel,ko,-11.092314383028603,2.1073684010822613
feature-intervention,AnnSel,zh,-10.614090824540044,1.7525721705203199
feature-intervention,ValSel,de,-14.541682127396413,1.605552029706779
feature-intervention,ValSel,en,-12.098225881261596,0.635822582561389
feature-intervention,ValSel,es,-13.984175943104514,1.5683690190357766
feature-intervention,ValSel,fr,-11.649895640074211,1.1878527318580183
feature-intervention,ValSel,ja,-11.68022312973485,0.9878868875660829
feature-intervention,ValSel,ko,-11.578593278131565,2.1098508963622264
feature-intervention,ValSel,zh,-11.606064833603897,1.7924323823897343
feature-intervention,FreqSel,de,-13.785447588126159,1.5254166008687409
feature-intervention,FreqSel,en,-11.306106988249846,0.8244757389860697
feature-intervention,FreqSel,es,-12.960776128633272,1.425160898888774
feature-intervention,FreqSel,fr,-10.546946505875079,1.282931120434775
feature-intervention,FreqSel,ja,-10.844449341348755,1.2923953853496608
feature-intervention,FreqSel,ko,-10.863684210256368,1.9647220439543827
feature-intervention,FreqSel,zh,-10.75331756459686,1.809122776270934
