Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.146304885590599,0.9604938105642383
original,AnnSel,fr,-12.644631261595547,1.3087950635583263
original,AnnSel,de,-12.36601345083488,1.7125646385224014
original,AnnSel,es,-9.94519219619666,1.2714778477359554
original,AnnSel,zh,-10.629608022186147,1.715382653357741
original,AnnSel,ja,-10.832185132575757,1.3138628478966952
original,AnnSel,ko,-10.526339166037507,1.895741187824274
distractor ablation,AnnSel,en,-11.150552721088435,0.8924324457628393
distractor ablation,AnnSel,fr,-12.933441558441558,1.1647811594152722
distractor ablation,AnnSel,de,-12.97637987012987,1.544108654001309
distractor ablation,AnnSel,es,-9.961219658317873,1.2123057089975784
distractor ablation,AnnSel,zh,-10.86928436147186,2.0036673149230704
distractor ablation,AnnSel,ja,-11.030903341450216,1.2943201016017583
distractor ablation,AnnSel,ko,-10.530426264744179,1.926132052120536
amplification,AnnSel,en,-10.93976886209029,0.8134729557611359
amplification,AnnSel,fr,-12.566017316017314,1.4189375015877346
amplification,AnnSel,de,-12.275993351886209,1.4946035861788773
amplification,AnnSel,es,-9.447886711502784,1.2510360728030439
amplification,AnnSel,zh,-10.072798295454545,1.6814313105648173
amplification,AnnSel,ja,-10.241267586580088,0.8974390157951513
amplification,AnnSel,ko,-10.62233908944437,1.8603589846081217
feature-intervention,AnnSel,en,-12.69660250463822,1.427090860446973
feature-intervention,AnnSel,fr,-14.325247371675943,1.4516394428949517
feature-intervention,AnnSel,de,-13.750943104514533,1.638577968456387
feature-intervention,AnnSel,es,-9.45692254174397,1.2332000824413072
feature-intervention,AnnSel,zh,-11.759433762851732,1.4149768855270328
feature-intervention,AnnSel,ja,-12.00333764542749,0.9707101623040404
feature-intervention,AnnSel,ko,-12.62285785407913,2.5075696085448245
