Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.241048237476809,1.2847993874739714
original,AnnSel,fr,-11.83224335188621,1.107997016687244
original,AnnSel,de,-11.829510667903524,1.2220689635583144
original,AnnSel,es,-12.140916821273963,1.1746070784141311
original,AnnSel,zh,-9.972935267857142,1.2292950297259648
original,AnnSel,ja,-9.42622260551948,0.9246488315246968
original,AnnSel,ko,-10.56500343301383,2.625066474473728
distractor ablation,AnnSel,en,-10.380476963512677,1.3384464706977532
distractor ablation,AnnSel,fr,-12.323106060606062,1.0716113780353838
distractor ablation,AnnSel,de,-12.10838358070501,1.2651102781932042
distractor ablation,AnnSel,es,-12.473384353741496,1.2201692157430342
distractor ablation,AnnSel,zh,-10.103054822781386,1.444725355408342
distractor ablation,AnnSel,ja,-9.7242872362013,0.7563034302098278
distractor ablation,AnnSel,ko,-10.710409622833508,2.564456996139119
amplification,AnnSel,en,-10.325050247371676,1.4182065517121727
amplification,AnnSel,fr,-11.812430426716142,1.452348067380188
amplification,AnnSel,de,-11.577639919604206,1.266124033615941
amplification,AnnSel,es,-11.168425324675326,1.1589350597626038
amplification,AnnSel,zh,-9.656131628787879,1.2659578116173493
amplification,AnnSel,ja,-10.074988162878787,0.9098815235136478
amplification,AnnSel,ko,-10.511056245007769,2.4583924227149647
