Experiment,Method,Run,mean,stdev
original,AnnSel,en,-6.2540625,2.7069039606608065
original,AnnSel,fr,-12.06375,4.827059505767691
original,AnnSel,de,-12.1275,4.647144637605794
original,AnnSel,es,-11.935625,4.25677615445852
original,AnnSel,zh,-3.5275,3.8491759251858446
original,AnnSel,ja,0.0,0.0
original,AnnSel,ko,-12.068125,3.1789918510060113
distractor ablation,AnnSel,en,-5.365625,2.5961828373838123
distractor ablation,AnnSel,fr,-12.069375,4.818926862689923
distractor ablation,AnnSel,de,-12.17625,4.680937156610994
distractor ablation,AnnSel,es,-11.935625,4.25677615445852
distractor ablation,AnnSel,zh,-3.525,4.008897537939448
distractor ablation,AnnSel,ja,0.035,0.2403963478100365
distractor ablation,AnnSel,ko,-12.068125,3.1789918510060113
amplification,AnnSel,en,-5.115625,2.5380217126760662
amplification,AnnSel,fr,-6.9075,3.8394166979904747
amplification,AnnSel,de,-2.7596875,3.220598037070534
amplification,AnnSel,es,-8.636875,3.6692209272204535
amplification,AnnSel,zh,0.5784375,2.720001435395631
amplification,AnnSel,ja,0.025,0.15590239111558088
amplification,AnnSel,ko,-11.79875,3.103926165179979
