Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.600498608534323,1.1929270782124552
original,AnnSel,fr,-12.685799319727892,1.5673468449699004
original,AnnSel,de,-13.038122294372295,1.6449943764739101
original,AnnSel,es,-9.861577187693259,1.069657909431191
original,AnnSel,zh,-10.328395562770563,1.7821187164971226
original,AnnSel,ja,-10.711783008658008,1.300078503182516
original,AnnSel,ko,-10.531645600134585,1.8406679213568484
distractor ablation,AnnSel,en,-10.59656771799629,1.1347797382118583
distractor ablation,AnnSel,fr,-13.036093073593074,1.439104531549532
distractor ablation,AnnSel,de,-13.389026747062461,1.590387793461485
distractor ablation,AnnSel,es,-9.96407506184292,1.0310989907427146
distractor ablation,AnnSel,zh,-10.612854268127705,1.988231621773762
distractor ablation,AnnSel,ja,-10.909177996482684,1.3187057136400842
distractor ablation,AnnSel,ko,-10.42752071775976,1.8728249279742704
amplification,AnnSel,en,-10.239672232529374,1.064550257662204
amplification,AnnSel,fr,-11.477477581941868,1.3362089983772536
amplification,AnnSel,de,-12.024207637600496,1.6036577106808594
amplification,AnnSel,es,-9.490948709029068,0.88185950732024
amplification,AnnSel,zh,-9.915280032467534,1.7538860735909783
amplification,AnnSel,ja,-10.067469899891774,0.8016571973317508
amplification,AnnSel,ko,-10.582834152948289,1.7762804580500033
feature-intervention,AnnSel,en,-10.923446196660482,1.2134229439203703
feature-intervention,AnnSel,fr,-13.678246753246754,1.487323550731421
feature-intervention,AnnSel,de,-14.132823129251701,1.3771052318221482
feature-intervention,AnnSel,es,-9.450538226654299,0.8740769469599421
feature-intervention,AnnSel,zh,-10.737892316017318,1.7158925438391335
feature-intervention,AnnSel,ja,-11.203862283549784,1.109712104435399
feature-intervention,AnnSel,ko,-11.153563923127845,2.0613198796252954
