Experiment,Method,Run,mean,stdev
original,AnnSel,en,-1.1928125,3.293796824054309
original,AnnSel,fr,-6.97125,5.143882819510821
original,AnnSel,de,-8.6346875,5.006304609076172
original,AnnSel,es,-6.28125,4.420115952276101
original,AnnSel,zh,2.14875,3.113726888936936
original,AnnSel,ja,0.0,0.0
original,AnnSel,ko,-8.39484375,4.101056504382568
distractor ablation,AnnSel,en,-0.7353125,3.200383250087899
distractor ablation,AnnSel,fr,-6.97125,5.143882819510821
distractor ablation,AnnSel,de,-8.6346875,5.006304609076172
distractor ablation,AnnSel,es,-6.2825,4.419696198681122
distractor ablation,AnnSel,zh,0.550625,2.409057623471691
distractor ablation,AnnSel,ja,0.03,0.21105794120443452
distractor ablation,AnnSel,ko,-8.39484375,4.101056504382568
amplification,AnnSel,en,-0.4184375,3.273467788576393
amplification,AnnSel,fr,-2.5840625,4.204784673827099
amplification,AnnSel,de,-2.3809375,3.35106168337387
amplification,AnnSel,es,-2.9040625,4.035861710550252
amplification,AnnSel,zh,4.24625,3.6044438499124545
amplification,AnnSel,ja,0.045625,0.2997861980148553
amplification,AnnSel,ko,-8.1240625,3.85823765088097
feature-intervention,AnnSel,en,-5.62375,3.119363350853258
feature-intervention,AnnSel,fr,-11.939375,5.070606701379605
feature-intervention,AnnSel,de,-12.2090625,5.103116572175366
feature-intervention,AnnSel,es,-11.60875,4.54728957593133
feature-intervention,AnnSel,zh,-2.815625,3.5592852210411885
feature-intervention,AnnSel,ja,0.059375,0.3417930983737963
feature-intervention,AnnSel,ko,-13.201875,3.7385331310008354
