Experiment,Method,Run,mean,stdev
original,AnnSel,en,-9.939397804576375,0.45741838575958144
original,AnnSel,fr,-11.697870284477428,0.6526614705401989
original,AnnSel,de,-11.860895949288807,0.8867071126396353
original,AnnSel,es,-11.700355596784167,1.0790277819812284
original,AnnSel,zh,-9.980697037337663,1.4212032698103945
original,AnnSel,ja,-9.952355587121213,1.2673099103202627
original,AnnSel,ko,-8.389853255755428,1.1885967944748805
distractor ablation,AnnSel,en,-9.972456709956711,0.44428159398200534
distractor ablation,AnnSel,fr,-12.129027520098948,0.6153677431958426
distractor ablation,AnnSel,de,-12.144631261595547,0.8316234073057744
distractor ablation,AnnSel,es,-12.10213358070501,1.0479154200029626
distractor ablation,AnnSel,zh,-9.979872666396103,1.606486901377632
distractor ablation,AnnSel,ja,-10.319338474025974,1.0720573953862393
distractor ablation,AnnSel,ko,-8.297849322834603,1.13068318558688
amplification,AnnSel,en,-9.647170686456402,0.44245950635689585
amplification,AnnSel,fr,-11.049176716141002,0.604696481096686
amplification,AnnSel,de,-11.47344619666048,1.1533798655556318
amplification,AnnSel,es,-11.08430735930736,1.1311635831570064
amplification,AnnSel,zh,-9.010797145562771,1.212940871342688
amplification,AnnSel,ja,-9.413338744588744,1.5434492851083916
amplification,AnnSel,ko,-8.365227784228926,1.1953092734844006
feature-intervention,AnnSel,en,-11.045230364873222,0.6033374828643338
feature-intervention,AnnSel,fr,-12.872093382807668,0.9407869618458996
feature-intervention,AnnSel,de,-12.321861471861471,1.4773990122512681
feature-intervention,AnnSel,es,-12.81724644403216,1.6266779712162376
feature-intervention,AnnSel,zh,-9.823939732142858,1.7540611404286204
feature-intervention,AnnSel,ja,-9.407301812770564,1.5449370472587192
feature-intervention,AnnSel,ko,-11.00801147119004,2.2337948974285418
