Experiment,Method,Run,mean,stdev
original,AnnSel,en,-3.3734375,2.6206010783476987
original,AnnSel,fr,-8.063125,4.341279636896513
original,AnnSel,de,-9.0240625,4.4494363377801385
original,AnnSel,es,-7.92125,3.4624225094344543
original,AnnSel,zh,-5.57625,3.0019929722695147
original,AnnSel,ja,-6.4584375,2.8125072074823474
original,AnnSel,ko,0.0,0.0
distractor ablation,AnnSel,en,-2.9609375,2.544236060794918
distractor ablation,AnnSel,fr,-8.063125,4.341279636896513
distractor ablation,AnnSel,de,-9.0265625,4.449173663399716
distractor ablation,AnnSel,es,-7.92125,3.4624225094344543
distractor ablation,AnnSel,zh,-5.418125,3.0318268481639046
distractor ablation,AnnSel,ja,-6.435625,2.86698012677948
distractor ablation,AnnSel,ko,0.0,0.0
amplification,AnnSel,en,-2.9553125,2.4934346201613025
amplification,AnnSel,fr,-1.453125,3.33918313638352
amplification,AnnSel,de,0.436875,2.7762925401167795
amplification,AnnSel,es,-4.595,3.0261184175057783
amplification,AnnSel,zh,-0.9646875,3.3568966368919546
amplification,AnnSel,ja,4.08984375,3.3257484838788414
amplification,AnnSel,ko,0.0,0.0
