Experiment,Method,Run,mean,stdev
original,AnnSel,en,-9.722646103896105,0.45705643067540985
original,AnnSel,fr,-12.825722789115646,1.58296170280191
original,AnnSel,de,-13.14974876314162,1.8529286643748677
original,AnnSel,es,-11.701692949907237,1.040768216229638
original,AnnSel,zh,-9.771272997835498,1.2960249497118903
original,AnnSel,ja,-10.361843885281386,1.0599337020774495
original,AnnSel,ko,-9.923263797706582,1.6460328456899
distractor ablation,AnnSel,en,-9.712878787878788,0.45251481125360704
distractor ablation,AnnSel,fr,-13.274203772418058,1.4743043736831394
distractor ablation,AnnSel,de,-13.451043599257885,1.9217574543637048
distractor ablation,AnnSel,es,-12.222251855287569,1.0425727810478802
distractor ablation,AnnSel,zh,-10.204917478354977,1.484039607574238
distractor ablation,AnnSel,ja,-10.547176001082251,1.063221469949379
distractor ablation,AnnSel,ko,-9.82997539103532,1.667635913334312
amplification,AnnSel,en,-9.505167748917748,0.4932622011915778
amplification,AnnSel,fr,-12.115105132962276,1.575402335802039
amplification,AnnSel,de,-12.768456246134818,2.1255241734800365
amplification,AnnSel,es,-11.458344928880644,0.9826743901312582
amplification,AnnSel,zh,-9.70036864177489,1.2732324532748294
amplification,AnnSel,ja,-9.930610795454545,0.6647364309759112
amplification,AnnSel,ko,-9.967539666012888,1.5810450243682819
feature-intervention,AnnSel,en,-9.441083024118738,0.5073299654503599
feature-intervention,AnnSel,fr,-12.619828385899813,1.6989884499835755
feature-intervention,AnnSel,de,-12.901499690785405,1.9949304196034285
feature-intervention,AnnSel,es,-11.446575448361163,1.096832606987605
feature-intervention,AnnSel,zh,-10.076180330086581,1.4594321124500655
feature-intervention,AnnSel,ja,-10.462297077922077,1.005389013367149
feature-intervention,AnnSel,ko,-9.730863623525583,1.6185189307773298
