Experiment,Method,Run,mean,stdev
original,AnnSel,en,0.0,0.0
original,AnnSel,fr,-5.72875,4.084378924572859
original,AnnSel,de,-7.634375,3.971830805351404
original,AnnSel,es,-4.1425,3.028798016415493
original,AnnSel,zh,-9.02875,1.9822726823960768
original,AnnSel,ja,-11.136875,2.624138491986706
original,AnnSel,ko,-13.058125,2.8852509251161913
distractor ablation,AnnSel,en,0.0,0.0
distractor ablation,AnnSel,fr,-5.7625,4.108639502390793
distractor ablation,AnnSel,de,-7.634375,3.971830805351404
distractor ablation,AnnSel,es,-4.736875,3.0675179849110137
distractor ablation,AnnSel,zh,-9.0025,1.9811078996614522
distractor ablation,AnnSel,ja,-11.0675,2.64717783782097
distractor ablation,AnnSel,ko,-13.058125,2.8852509251161913
amplification,AnnSel,en,0.0,0.0
amplification,AnnSel,fr,-3.02875,2.9270839399330764
amplification,AnnSel,de,-2.5625,2.5076272538885127
amplification,AnnSel,es,-2.90125,2.595283029367944
amplification,AnnSel,zh,-3.39125,1.7080011687420598
amplification,AnnSel,ja,-4.225625,2.321073293590095
amplification,AnnSel,ko,-12.780625,2.816929662614273
feature-intervention,AnnSel,en,0.005,0.039408505465575616
feature-intervention,AnnSel,fr,-5.806875,4.066767329463901
feature-intervention,AnnSel,de,-7.511875,3.845795526177473
feature-intervention,AnnSel,es,-4.80875,3.096980700145015
feature-intervention,AnnSel,zh,-8.98125,1.9391895533282386
feature-intervention,AnnSel,ja,-11.151875,2.6253795871533345
feature-intervention,AnnSel,ko,-13.014375,2.8800440901989504
