Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.643170222634508,1.066440233310087
original,AnnSel,fr,-12.138199598021028,1.1339175315646985
original,AnnSel,de,-13.026120902906618,1.6299069829157464
original,AnnSel,es,-9.597555755256648,1.2224953773635272
original,AnnSel,zh,-9.687094155844155,1.1824995186917466
original,AnnSel,ja,-10.255735930735932,0.8800302076755
original,AnnSel,ko,-10.117176199092919,1.5813909682097695
distractor ablation,AnnSel,en,-10.694944341372913,1.0735276356413956
distractor ablation,AnnSel,fr,-12.440406617192332,1.0290868048086528
distractor ablation,AnnSel,de,-13.374172850958564,1.6052925324144454
distractor ablation,AnnSel,es,-9.63473832714904,1.2428221336728655
distractor ablation,AnnSel,zh,-10.036479471049784,1.427373939090511
distractor ablation,AnnSel,ja,-10.473393533549784,0.9250740396790048
distractor ablation,AnnSel,ko,-10.074938375008205,1.5409480105799436
amplification,AnnSel,en,-10.32815012368584,1.026973016691233
amplification,AnnSel,fr,-11.103567563388992,0.8313102101269879
amplification,AnnSel,de,-12.091226035868894,1.627010565759876
amplification,AnnSel,es,-9.493696853741497,1.1764100384789766
amplification,AnnSel,zh,-9.148217667748918,1.1591321715160925
amplification,AnnSel,ja,-9.518492965367965,0.6188607373182152
amplification,AnnSel,ko,-10.14842246346781,1.5983819529031298
feature-intervention,AnnSel,en,-11.055368738404452,1.0806238519707188
feature-intervention,AnnSel,fr,-13.238953308596166,1.0034177450617296
feature-intervention,AnnSel,de,-14.182274273345701,1.5333053814366835
feature-intervention,AnnSel,es,-9.439185219542363,1.2021440095143525
feature-intervention,AnnSel,zh,-10.469350311147185,1.5135801703751939
feature-intervention,AnnSel,ja,-11.057533482142857,0.9166600774002498
feature-intervention,AnnSel,ko,-10.725853133001248,1.817661522284348
