Experiment,Method,Run,mean,stdev
original,AnnSel,en,-10.019534632034633,0.8307171501564147
original,AnnSel,fr,-11.648782467532468,0.44664090341635043
original,AnnSel,de,-11.847155225726654,0.874408642048328
original,AnnSel,es,-11.796954236239952,1.32117871154908
original,AnnSel,zh,-9.536788081709958,0.9020553716574964
original,AnnSel,ja,-9.309444331709956,0.7995267153585203
original,AnnSel,ko,-10.060390337775734,1.8213523382470522
distractor ablation,AnnSel,en,-10.019237012987015,0.8309024379853498
distractor ablation,AnnSel,fr,-12.08073593073593,0.4203622514825374
distractor ablation,AnnSel,de,-12.07594696969697,0.8920457963391225
distractor ablation,AnnSel,es,-12.15366032776747,1.3335941720123057
distractor ablation,AnnSel,zh,-9.566765591179655,1.1178405310783799
distractor ablation,AnnSel,ja,-9.804820244859306,0.840356479612714
distractor ablation,AnnSel,ko,-10.10557833118599,1.8753481619978398
amplification,AnnSel,en,-9.829058441558443,0.7629595147110002
amplification,AnnSel,fr,-11.132691713048855,0.5221743445613166
amplification,AnnSel,de,-11.214363017934447,1.0994474287725442
amplification,AnnSel,es,-11.240642393320964,1.2177454039012967
amplification,AnnSel,zh,-9.121584145021645,0.9790671971423832
amplification,AnnSel,ja,-9.260869859307359,1.0461073075309968
amplification,AnnSel,ko,-10.046973271730566,1.8059150191620188
feature-intervention,AnnSel,en,-10.238331014223872,0.870937218515691
feature-intervention,AnnSel,fr,-12.448500309214594,0.5435054866750503
feature-intervention,AnnSel,de,-12.341840599876315,0.9825811569775542
feature-intervention,AnnSel,es,-12.144314316635745,1.3817534259950635
feature-intervention,AnnSel,zh,-9.307401582792208,1.0249518307923111
feature-intervention,AnnSel,ja,-9.43201011228355,0.870948006917692
feature-intervention,AnnSel,ko,-10.619846910321746,2.2917203496897476
