Experiment,Method,Run,mean,stdev
original,AnnSel,en,-11.05536100803958,1.0495319709254707
original,AnnSel,fr,-10.929804421768708,1.4951348415254102
original,AnnSel,de,-13.029518398268397,1.4874737651012282
original,AnnSel,es,-12.300305349412493,1.2972354031817566
original,AnnSel,zh,-10.215909090909092,1.628359833761473
original,AnnSel,ja,-9.985558712121213,1.1457809373846592
original,AnnSel,ko,-10.18139237689705,1.337205245988012
distractor ablation,AnnSel,en,-11.074961348175634,1.0474100104851618
distractor ablation,AnnSel,fr,-11.116175788497218,1.3831404744533906
distractor ablation,AnnSel,de,-13.3233109152752,1.6493028285116569
distractor ablation,AnnSel,es,-12.631779529993816,1.2714210687148884
distractor ablation,AnnSel,zh,-10.278603557900434,1.6789619319664293
distractor ablation,AnnSel,ja,-10.302196631493507,1.1847508641510476
distractor ablation,AnnSel,ko,-10.208396915895264,1.387324623611225
amplification,AnnSel,en,-10.821034322820038,0.914876951068985
amplification,AnnSel,fr,-10.791523654916512,1.5004011409696711
amplification,AnnSel,de,-12.063671150278294,1.4536671056789527
amplification,AnnSel,es,-11.449319727891156,1.191369415823563
amplification,AnnSel,zh,-9.699802150974026,1.5267358762473342
amplification,AnnSel,ja,-9.082467532467533,0.6979361790205331
amplification,AnnSel,ko,-10.182288777327338,1.3243889948387797
feature-intervention,AnnSel,en,-11.368900742115029,0.9253269074460039
feature-intervention,AnnSel,fr,-10.75286410018553,1.4181110611953955
feature-intervention,AnnSel,de,-13.757196969696968,1.495834420425694
feature-intervention,AnnSel,es,-13.592524737167594,1.2485850149336157
feature-intervention,AnnSel,zh,-10.884647253787879,1.6850122895528856
feature-intervention,AnnSel,ja,-10.334337797619046,1.005700555249405
feature-intervention,AnnSel,ko,-11.066129813741904,1.9372497319074096
