Experiment,Method,Run,mean,stdev
original,AnnSel,en,1.739375,3.6773481533963954
original,AnnSel,fr,0.0,0.0
original,AnnSel,de,-1.85375,3.9884739635706294
original,AnnSel,es,-0.8275,3.7232115562950883
original,AnnSel,zh,-1.82375,3.996609002983313
original,AnnSel,ja,-3.111875,4.261036388949822
original,AnnSel,ko,1.23375,4.050361819789946
distractor ablation,AnnSel,en,1.745625,3.675579463266007
distractor ablation,AnnSel,fr,0.0,0.0
distractor ablation,AnnSel,de,-1.936875,4.0342549093495705
distractor ablation,AnnSel,es,-0.8275,3.7246949234437
distractor ablation,AnnSel,zh,-1.9575,3.993690573134002
distractor ablation,AnnSel,ja,-3.7671875,4.324312651105825
distractor ablation,AnnSel,ko,1.23375,4.050361819789946
amplification,AnnSel,en,1.69125,3.632468143095829
amplification,AnnSel,fr,0.04,0.2652424086633496
amplification,AnnSel,de,3.080625,3.6052152420192445
amplification,AnnSel,es,0.933125,3.46915811140022
amplification,AnnSel,zh,1.588125,4.001302808275088
amplification,AnnSel,ja,3.8196875,4.414642401234387
amplification,AnnSel,ko,1.94,4.077598400053788
feature-intervention,AnnSel,en,-0.901875,3.0387108796288516
feature-intervention,AnnSel,fr,0.04,0.2652424086633496
feature-intervention,AnnSel,de,-4.09,3.8836385463358787
feature-intervention,AnnSel,es,-2.32125,3.6450921324488363
feature-intervention,AnnSel,zh,-4.183125,3.318744768775957
feature-intervention,AnnSel,ja,-5.828125,4.195237038592069
feature-intervention,AnnSel,ko,-4.1125,3.6841546629868946
