Experiment,Method,Run,mean,stdev
original,AnnSel,en,-9.688566790352505,0.6263067145825824
original,AnnSel,fr,-11.865016233766235,0.8677269560391692
original,AnnSel,de,-12.064714749536178,1.3500573989647673
original,AnnSel,es,-11.023465522572666,0.8409725636472231
original,AnnSel,zh,-8.984070616883118,1.2391548283844434
original,AnnSel,ja,-9.858800054112553,0.996458133587591
original,AnnSel,ko,-9.94849232906053,2.637987369895687
distractor ablation,AnnSel,en,-9.692435837971553,0.6258269453192599
distractor ablation,AnnSel,fr,-12.373991187384044,0.8233218305941539
distractor ablation,AnnSel,de,-12.295875850340137,1.3973724088077795
distractor ablation,AnnSel,es,-11.4196158008658,0.794501908645881
distractor ablation,AnnSel,zh,-9.104048295454545,1.2777037564646034
distractor ablation,AnnSel,ja,-10.253295792748917,0.952886459014345
distractor ablation,AnnSel,ko,-10.206412042356005,2.854411835765617
amplification,AnnSel,en,-9.50247758194187,0.6521873131676956
amplification,AnnSel,fr,-11.361765615337045,0.8193363413073473
amplification,AnnSel,de,-11.584496753246754,1.404350196271954
amplification,AnnSel,es,-10.545013914656773,0.8155328422211618
amplification,AnnSel,zh,-8.83013731060606,1.213920261938668
amplification,AnnSel,ja,-9.997434726731601,1.2244256132654494
amplification,AnnSel,ko,-9.876506679331888,2.353027513450503
feature-intervention,AnnSel,en,-10.45627319109462,0.836330920465513
feature-intervention,AnnSel,fr,-12.69597247990105,1.1186847020553639
feature-intervention,AnnSel,de,-12.547178416821273,1.959349589557151
feature-intervention,AnnSel,es,-12.059794372294373,1.284334312703415
feature-intervention,AnnSel,zh,-9.289214691558442,0.8688285449931784
feature-intervention,AnnSel,ja,-9.710959483225109,1.0140771555979224
feature-intervention,AnnSel,ko,-12.530036374901524,3.1251129186345885
