Experiment,Method,Run,mean,stdev
original,FreqSel,en,-2.905625,2.415188533719281
original,FreqSel,fr,-7.5403125,4.2524857532132385
original,FreqSel,de,-8.6709375,4.660931555642345
original,FreqSel,es,-7.2640625,3.604342850725288
original,FreqSel,zh,-5.3575,2.921412264849335
original,FreqSel,ja,-6.1153125,2.7663286997789975
original,FreqSel,ko,0.0,0.0
distractor ablation,FreqSel,en,-2.8875,2.416225795731764
distractor ablation,FreqSel,fr,-7.5403125,4.2524857532132385
distractor ablation,FreqSel,de,-8.6934375,4.692427324011534
distractor ablation,FreqSel,es,-7.2646875,3.6055607278327244
distractor ablation,FreqSel,zh,-5.5325,2.9328350558199596
distractor ablation,FreqSel,ja,-6.31125,2.822785345821722
distractor ablation,FreqSel,ko,0.0275,0.17994457620348134
amplification,FreqSel,en,-3.346875,2.6064213724148306
amplification,FreqSel,fr,2.3128125,3.466320570095242
amplification,FreqSel,de,1.2203125,3.3318870412311385
amplification,FreqSel,es,-1.781875,3.3747368841507446
amplification,FreqSel,zh,6.5096875,3.2248495549387473
amplification,FreqSel,ja,4.529375,3.5029462594854968
amplification,FreqSel,ko,0.029375,0.154747829654662
feature-intervention,FreqSel,en,-5.20203125,3.39896128989159
feature-intervention,FreqSel,fr,-8.72125,4.707205382456374
feature-intervention,FreqSel,de,-9.511875,4.7540867835824505
feature-intervention,FreqSel,es,-8.060625,4.360875965762226
feature-intervention,FreqSel,zh,-6.0184375,3.6070860237238858
feature-intervention,FreqSel,ja,-7.30375,3.647883838957218
feature-intervention,FreqSel,ko,0.02875,0.1549936867401151
