Experiment,Method,Run,mean,stdev
original,FreqSel,en,-3.0675,2.845349408697596
original,FreqSel,fr,-6.32625,4.523416731494864
original,FreqSel,de,-8.2328125,5.065732255888804
original,FreqSel,es,-7.2565625,4.675895347117026
original,FreqSel,zh,-2.62875,3.32329003079597
original,FreqSel,ja,0.0,0.0
original,FreqSel,ko,-9.295625,3.0711503655064667
distractor ablation,FreqSel,en,-3.0525,2.850836090367423
distractor ablation,FreqSel,fr,-6.645625,4.376019497015247
distractor ablation,FreqSel,de,-8.3290625,5.1437213012534455
distractor ablation,FreqSel,es,-7.2590625,4.676448029589689
distractor ablation,FreqSel,zh,-2.648125,3.342726526079656
distractor ablation,FreqSel,ja,0.02625,0.20893473801040063
distractor ablation,FreqSel,ko,-9.2428125,3.138725712201224
amplification,FreqSel,en,-3.636875,2.9589694018502217
amplification,FreqSel,fr,1.7425,3.760373698654876
amplification,FreqSel,de,1.8621875,3.766939054641391
amplification,FreqSel,es,1.33125,3.635841285873272
amplification,FreqSel,zh,2.466875,3.1038324128560744
amplification,FreqSel,ja,0.0325,0.325
amplification,FreqSel,ko,2.37984375,3.3156102100734977
feature-intervention,FreqSel,en,-5.9734375,3.025888452544337
feature-intervention,FreqSel,fr,-11.3815625,4.852581950891706
feature-intervention,FreqSel,de,-11.8909375,4.841501178439082
feature-intervention,FreqSel,es,-11.635,4.540221830227766
feature-intervention,FreqSel,zh,-3.169375,3.9697134557907146
feature-intervention,FreqSel,ja,0.03375,0.3375
feature-intervention,FreqSel,ko,-12.6009375,3.4323390291945333
