Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.266268552875696,1.2614721131044095
original,FreqSel,fr,-13.069523036487324,1.7922310662725518
original,FreqSel,de,-11.274551638837353,0.9262990879937385
original,FreqSel,es,-12.439803648732221,1.0759952389924476
original,FreqSel,zh,-10.668518330627705,1.8876141413470633
original,FreqSel,ja,-11.045466382575757,1.3875522838245062
original,FreqSel,ko,-10.113335138742997,1.4904650396998198
distractor ablation,FreqSel,en,-11.355875077303649,1.2255598892016433
distractor ablation,FreqSel,fr,-13.771652752009896,1.644133904841807
distractor ablation,FreqSel,de,-11.071579313543598,0.8628777719326243
distractor ablation,FreqSel,es,-13.369117192331478,1.2217068649390141
distractor ablation,FreqSel,zh,-11.41309016504329,2.2484070969073993
distractor ablation,FreqSel,ja,-11.179876893939394,1.366335113510783
distractor ablation,FreqSel,ko,-10.227472710275517,1.4749387701670775
amplification,FreqSel,en,-11.227670841063699,1.2668665661767378
amplification,FreqSel,fr,-11.25928416821274,1.785988265692826
amplification,FreqSel,de,-9.994414811379098,1.1262293589351209
amplification,FreqSel,es,-11.59494820655535,1.0129064016958074
amplification,FreqSel,zh,-9.268076975108226,1.350146875900272
amplification,FreqSel,ja,-10.288883252164501,1.4237300712118575
amplification,FreqSel,ko,-8.402643215489322,1.236814912442025
feature-intervention,FreqSel,en,-11.432301329622758,1.4338281312568517
feature-intervention,FreqSel,fr,-14.259802102659247,1.7346687860313643
feature-intervention,FreqSel,de,-9.993510358688932,1.1406737714603514
feature-intervention,FreqSel,es,-13.853223562152134,1.2009570423762956
feature-intervention,FreqSel,zh,-13.108960700757576,1.8631950323255264
feature-intervention,FreqSel,ja,-13.589006960650027,1.1968367215186937
feature-intervention,FreqSel,ko,-11.934402628238796,2.1831129935534066
