Experiment,Method,Run,mean,stdev
original,FreqSel,en,-10.97987012987013,0.9529666471413121
original,FreqSel,fr,-10.850042517006802,1.2833707816718867
original,FreqSel,de,-12.901348948670377,1.7126107007434312
original,FreqSel,es,-11.500838744588744,1.255663592130583
original,FreqSel,zh,-9.820447781385282,1.45275185107597
original,FreqSel,ja,-10.350656114718616,1.3353984971603674
original,FreqSel,ko,-9.906458211946887,1.302907822979429
distractor ablation,FreqSel,en,-11.011626468769325,0.9352389790525643
distractor ablation,FreqSel,fr,-11.070547309833023,1.3374566086604294
distractor ablation,FreqSel,de,-13.500939239332096,1.6248373573807846
distractor ablation,FreqSel,es,-12.302435064935066,1.406966548850142
distractor ablation,FreqSel,zh,-10.415622463474026,1.798461026849926
distractor ablation,FreqSel,ja,-10.452575419372295,1.3766873452997264
distractor ablation,FreqSel,ko,-9.991188720361192,1.458068549360298
amplification,FreqSel,en,-10.837963821892393,0.7832020843839067
amplification,FreqSel,fr,-9.831655844155843,1.3955310602073279
amplification,FreqSel,de,-11.16675556586271,1.8802393325978277
amplification,FreqSel,es,-10.701178880643166,1.1997912176421504
amplification,FreqSel,zh,-8.612452651515152,1.0613046346446988
amplification,FreqSel,ja,-9.550050730519482,1.2344532480218797
amplification,FreqSel,ko,-8.304620728906796,1.221149422702809
feature-intervention,FreqSel,en,-11.190170841063699,1.0558510054837045
feature-intervention,FreqSel,fr,-9.838083642547929,1.4415838918093826
feature-intervention,FreqSel,de,-13.61751700680272,1.5665368810352562
feature-intervention,FreqSel,es,-12.886850649350649,1.6273808333263717
feature-intervention,FreqSel,zh,-10.78655768060065,1.6643358665070551
feature-intervention,FreqSel,ja,-10.993830164789639,1.0024151192007
feature-intervention,FreqSel,ko,-11.200116736147583,2.092485931148847
