Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.281837507730364,1.3333134185929056
original,FreqSel,fr,-13.605824829931972,1.6003880669362258
original,FreqSel,de,-13.457386363636363,1.4306466208299746
original,FreqSel,es,-13.18021413110699,1.0722409379919469
original,FreqSel,zh,-11.958261465097403,2.4660216407532745
original,FreqSel,ja,-12.350915685876624,1.5270342178170146
original,FreqSel,ko,-9.814664951826677,1.6071525673152032
distractor ablation,FreqSel,en,-11.451623376623376,1.2616404162215888
distractor ablation,FreqSel,fr,-14.141102350030922,1.3679524904358504
distractor ablation,FreqSel,de,-14.00752937538652,1.6661456436771047
distractor ablation,FreqSel,es,-13.851213667285096,1.1746768854900809
distractor ablation,FreqSel,zh,-12.420082521645023,2.537249192306884
distractor ablation,FreqSel,ja,-12.569012107683983,1.6783385664867696
distractor ablation,FreqSel,ko,-9.294287473748044,2.1579474434983155
amplification,FreqSel,en,-10.976530612244899,1.2155687305003977
amplification,FreqSel,fr,-12.066792285095856,1.7821665994948255
amplification,FreqSel,de,-11.856439393939395,1.6311717051776822
amplification,FreqSel,es,-12.496861471861473,1.1422236680700237
amplification,FreqSel,zh,-9.717557832792208,1.4618279445247218
amplification,FreqSel,ja,-10.305424783549784,1.1594744888660728
amplification,FreqSel,ko,-8.280863561550108,1.5622808752371005
feature-intervention,FreqSel,en,-12.673778602350032,1.3978889299090624
feature-intervention,FreqSel,fr,-15.535760667903526,1.433322525772821
feature-intervention,FreqSel,de,-15.514811379097093,1.3152293477794679
feature-intervention,FreqSel,es,-15.142068645640075,0.9989241240056419
feature-intervention,FreqSel,zh,-13.914628990800866,1.9444592283364628
feature-intervention,FreqSel,ja,-14.61606635551948,1.401383545786349
feature-intervention,FreqSel,ko,-8.27216267732679,1.535807477493697
