Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.439838435374151,1.0489635501834338
original,FreqSel,fr,-13.41502009894867,1.3479978683916842
original,FreqSel,de,-11.741944959802101,0.9051865396750007
original,FreqSel,es,-12.905125231910946,1.098788952027622
original,FreqSel,zh,-11.425045657467532,2.168674346876069
original,FreqSel,ja,-11.709593141233766,1.6859268406987835
original,FreqSel,ko,-9.635309376436123,1.2679328607494804
distractor ablation,FreqSel,en,-11.987063234384664,0.8596898590256908
distractor ablation,FreqSel,fr,-13.972564935064936,1.2494790362417134
distractor ablation,FreqSel,de,-11.656369820655536,0.9736556186550072
distractor ablation,FreqSel,es,-13.93603896103896,1.0022408611659779
distractor ablation,FreqSel,zh,-12.582432866612553,2.358690626056984
distractor ablation,FreqSel,ja,-12.565202245670994,1.4154048585679377
distractor ablation,FreqSel,ko,-9.494807404162838,1.5511786211634153
amplification,FreqSel,en,-11.547777520098949,0.9349533232740564
amplification,FreqSel,fr,-11.685694959802102,1.712285790271938
amplification,FreqSel,de,-10.266461811997527,1.2464819016053033
amplification,FreqSel,es,-12.019681508967222,1.0069080820567133
amplification,FreqSel,zh,-9.773090841450216,1.4067569753271372
amplification,FreqSel,ja,-10.300904694264071,1.0145790685030178
amplification,FreqSel,ko,-8.096094540721563,0.8919799349918106
feature-intervention,FreqSel,en,-11.81288651824366,1.5134287629154308
feature-intervention,FreqSel,fr,-14.400873531230674,1.4071385632818907
feature-intervention,FreqSel,de,-10.261093073593074,1.256384911106476
feature-intervention,FreqSel,es,-14.206161100803957,1.1376453640581834
feature-intervention,FreqSel,zh,-12.96593577727611,1.9845766024302987
feature-intervention,FreqSel,ja,-13.56539914349973,1.4886388278306812
feature-intervention,FreqSel,ko,-11.107629018404237,1.9601482112502973
