Experiment,Method,Run,mean,stdev
original,FreqSel,en,-3.800625,2.2369094326715033
original,FreqSel,fr,-8.626875,4.417206719054887
original,FreqSel,de,-10.58125,4.638455549680695
original,FreqSel,es,-7.061875,3.43411213907061
original,FreqSel,zh,0.0,0.0
original,FreqSel,ja,-4.59375,3.7482161161051404
original,FreqSel,ko,-11.06375,3.362232444013316
distractor ablation,FreqSel,en,-3.775,2.2328894855199293
distractor ablation,FreqSel,fr,-8.63,4.415216314181005
distractor ablation,FreqSel,de,-10.833125,4.619101608382371
distractor ablation,FreqSel,es,-7.17375,3.3791661996038984
distractor ablation,FreqSel,zh,0.0075,0.06361381274312342
distractor ablation,FreqSel,ja,-4.758125,3.809892664899571
distractor ablation,FreqSel,ko,-10.635625,3.310838574674172
amplification,FreqSel,en,-4.248125,2.4549677623168806
amplification,FreqSel,fr,-1.019375,3.4041448179077047
amplification,FreqSel,de,-0.546875,3.252431770396707
amplification,FreqSel,es,-1.765,3.169893690662356
amplification,FreqSel,zh,0.02875,0.1363010167669969
amplification,FreqSel,ja,0.59,3.6716571367776845
amplification,FreqSel,ko,-2.59203125,3.611670224219653
feature-intervention,FreqSel,en,-8.7021875,3.0543350462855963
feature-intervention,FreqSel,fr,-13.6053125,4.508082876084378
feature-intervention,FreqSel,de,-15.5875,4.5942191662430245
feature-intervention,FreqSel,es,-12.008125,3.718092421276879
feature-intervention,FreqSel,zh,0.03375,0.1567655635628945
feature-intervention,FreqSel,ja,-7.785625,5.87727802788378
feature-intervention,FreqSel,ko,-15.81,3.478456877334366
