Experiment,Method,Run,mean,stdev
original,FreqSel,en,-1.1928125,3.293796824054309
original,FreqSel,fr,-6.97125,5.143882819510821
original,FreqSel,de,-8.6346875,5.006304609076172
original,FreqSel,es,-6.28125,4.420115952276101
original,FreqSel,zh,2.14875,3.113726888936936
original,FreqSel,ja,0.0,0.0
original,FreqSel,ko,-8.39484375,4.101056504382568
distractor ablation,FreqSel,en,-1.18875,3.3142681577864472
distractor ablation,FreqSel,fr,-6.980625,5.135042628827315
distractor ablation,FreqSel,de,-8.7909375,5.039431195402985
distractor ablation,FreqSel,es,-6.2909375,4.419769348210671
distractor ablation,FreqSel,zh,-0.015625,2.3021347519281647
distractor ablation,FreqSel,ja,0.013125,0.09244461555139079
distractor ablation,FreqSel,ko,-8.17078125,4.0398426397689855
amplification,FreqSel,en,-1.655,3.3773546780301476
amplification,FreqSel,fr,-1.513125,4.240876040725905
amplification,FreqSel,de,-1.47875,3.4458773035925323
amplification,FreqSel,es,-1.0503125,3.9102262464534303
amplification,FreqSel,zh,5.12,4.027108171003058
amplification,FreqSel,ja,0.079375,0.4559904824398834
amplification,FreqSel,ko,1.99078125,3.9176154701584656
feature-intervention,FreqSel,en,-6.72625,3.3319691810905714
feature-intervention,FreqSel,fr,-13.616875,5.192663207229227
feature-intervention,FreqSel,de,-13.2775,4.6681508901904465
feature-intervention,FreqSel,es,-13.0946875,4.451942138665893
feature-intervention,FreqSel,zh,-2.4553125,3.5287371361049282
feature-intervention,FreqSel,ja,0.083125,0.47822329731618013
feature-intervention,FreqSel,ko,-13.093125,3.447105438760808
