Experiment,Method,Run,mean,stdev
original,FreqSel,en,-9.688566790352505,0.6263067145825824
original,FreqSel,fr,-11.865016233766235,0.8677269560391692
original,FreqSel,de,-12.064714749536178,1.3500573989647673
original,FreqSel,es,-11.023465522572666,0.8409725636472231
original,FreqSel,zh,-8.984070616883118,1.2391548283844434
original,FreqSel,ja,-9.858800054112553,0.996458133587591
original,FreqSel,ko,-9.94849232906053,2.637987369895687
distractor ablation,FreqSel,en,-9.856346629560916,0.6892811588445636
distractor ablation,FreqSel,fr,-12.83262987012987,0.8130794147488504
distractor ablation,FreqSel,de,-12.726275510204081,1.3749893354294833
distractor ablation,FreqSel,es,-12.648987322201608,0.6889532999512625
distractor ablation,FreqSel,zh,-9.635957792207792,1.6554009122881863
distractor ablation,FreqSel,ja,-9.761794845779221,0.9126761454464564
distractor ablation,FreqSel,ko,-10.10946482596945,2.644825912320794
amplification,FreqSel,en,-9.60035559678417,0.6264306333955909
amplification,FreqSel,fr,-11.11499690785405,1.2002011650623217
amplification,FreqSel,de,-11.19208410636982,1.7525729316396694
amplification,FreqSel,es,-10.605662492269634,0.8379344433635514
amplification,FreqSel,zh,-8.630588812229437,0.7642738457121081
amplification,FreqSel,ja,-9.69640320616883,0.7796889024663929
amplification,FreqSel,ko,-8.05362993341868,1.6928324242319939
feature-intervention,FreqSel,en,-12.151530612244898,1.1441694581459279
feature-intervention,FreqSel,fr,-14.549219233147804,1.3921742648118118
feature-intervention,FreqSel,de,-14.468606988249846,2.2916046111058326
feature-intervention,FreqSel,es,-14.147162956091526,1.6600755688812847
feature-intervention,FreqSel,zh,-10.255707183441558,1.2728712633749597
feature-intervention,FreqSel,ja,-10.352333603896103,0.7346537845365866
feature-intervention,FreqSel,ko,-13.852489413734244,3.3830912915251896
