Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.91507807668522,1.5488525575770142
original,FreqSel,fr,-10.811715367965368,1.4746194584082304
original,FreqSel,de,-14.376345083487942,2.1508854172076677
original,FreqSel,es,-13.097116573902287,1.5399080872429187
original,FreqSel,zh,-11.637767180735931,2.1937470628901607
original,FreqSel,ja,-11.707125946969697,1.6722161186209772
original,FreqSel,ko,-11.240391249883743,2.608005835136505
distractor ablation,FreqSel,en,-12.473442331478045,1.3001816050767838
distractor ablation,FreqSel,fr,-10.877079468150896,1.5158742645447383
distractor ablation,FreqSel,de,-15.156852968460111,2.591604442466573
distractor ablation,FreqSel,es,-13.563821892393321,1.112336121854434
distractor ablation,FreqSel,zh,-12.696003703327921,2.3605097801001453
distractor ablation,FreqSel,ja,-12.892779356060606,1.1349959719946658
distractor ablation,FreqSel,ko,-12.056711371071867,3.2330157082326525
amplification,FreqSel,en,-11.945910636982065,1.1673624273851977
amplification,FreqSel,fr,-10.053579158936301,1.3663819315125165
amplification,FreqSel,de,-12.614846165739023,2.4008780204479283
amplification,FreqSel,es,-11.279066171923315,0.911723271250579
amplification,FreqSel,zh,-9.977501014610388,1.4443507097462902
amplification,FreqSel,ja,-10.429286728896104,1.0395911615596545
amplification,FreqSel,ko,-9.449413412826067,2.1594375233727416
