Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.274775819418677,1.143049227532586
original,FreqSel,fr,-13.579970624613482,1.2510157969899545
original,FreqSel,de,-13.372792980828695,1.2956479475965357
original,FreqSel,es,-13.256760204081631,1.0659062479254113
original,FreqSel,zh,-11.924305837391774,2.3198451105006876
original,FreqSel,ja,-12.23880800189394,1.5359934203278554
original,FreqSel,ko,-9.748428921739594,1.7766484098221356
distractor ablation,FreqSel,en,-11.497019944341373,1.0221644678491126
distractor ablation,FreqSel,fr,-14.099996134817562,1.011872240849856
distractor ablation,FreqSel,de,-13.913767779839208,1.4494416287008867
distractor ablation,FreqSel,es,-13.796034322820036,1.1666353184088205
distractor ablation,FreqSel,zh,-12.249725209686147,2.373719927728443
distractor ablation,FreqSel,ja,-12.513310842803032,1.542167920908748
distractor ablation,FreqSel,ko,-8.701735398749344,2.244745419925163
amplification,FreqSel,en,-11.126696815089673,1.019640205753761
amplification,FreqSel,fr,-12.03598291589363,1.4989749274192423
amplification,FreqSel,de,-11.727160636982065,1.3433916084307893
amplification,FreqSel,es,-12.322947588126159,1.161618933840934
amplification,FreqSel,zh,-9.882330560064934,1.502773924600996
amplification,FreqSel,ja,-10.141157670454545,0.9833425637756394
amplification,FreqSel,ko,-8.182050697476257,1.7374785370543455
feature-intervention,FreqSel,en,-13.78562925170068,1.7492023013408395
feature-intervention,FreqSel,fr,-15.712051638837352,1.454450554750103
feature-intervention,FreqSel,de,-15.873925479282622,1.5707453809386565
feature-intervention,FreqSel,es,-15.421366728509586,1.3050022477501808
feature-intervention,FreqSel,zh,-14.546198593073594,2.177159120090567
feature-intervention,FreqSel,ja,-14.7239549512987,1.44159551391881
feature-intervention,FreqSel,ko,-8.19740730520724,1.7757621191007509
