Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.40216836734694,1.3708020667613459
original,FreqSel,fr,-13.65401592455164,1.8761924742649574
original,FreqSel,de,-14.057154452690167,1.669322242714732
original,FreqSel,es,-9.667802547155224,1.120649798352818
original,FreqSel,zh,-10.952583874458876,1.6701609442518222
original,FreqSel,ja,-11.340094020562772,1.2703210468602328
original,FreqSel,ko,-10.773692308954832,1.9870817248458632
distractor ablation,FreqSel,en,-11.660211811997527,1.1086823199135671
distractor ablation,FreqSel,fr,-14.382204700061843,1.4006220123750506
distractor ablation,FreqSel,de,-14.825429035250465,1.6101980523761135
distractor ablation,FreqSel,es,-9.817721861471862,0.883684525234202
distractor ablation,FreqSel,zh,-11.734821005817098,1.9964804872732285
distractor ablation,FreqSel,ja,-12.35273014745671,1.054968498291696
distractor ablation,FreqSel,ko,-12.34520191865809,2.7392911250625174
amplification,FreqSel,en,-11.233317872603587,0.8982167266081796
amplification,FreqSel,fr,-10.997723407544836,1.2442855862380076
amplification,FreqSel,de,-11.94487863327149,1.973386855437026
amplification,FreqSel,es,-9.192611703772418,0.878542860455528
amplification,FreqSel,zh,-9.795606737012987,1.1254152370904047
amplification,FreqSel,ja,-9.810541801948052,0.913831777796616
amplification,FreqSel,ko,-9.111885938457414,1.912478731915029
