Experiment,Method,Run,mean,stdev
original,FreqSel,en,-2.36,3.0716419415634557
original,FreqSel,fr,-7.72375,5.087415927630359
original,FreqSel,de,-8.0103125,5.058716660176594
original,FreqSel,es,-7.6665625,4.694414208323747
original,FreqSel,zh,-2.1778125,3.1190843471465945
original,FreqSel,ja,0.0,0.0
original,FreqSel,ko,-2.936875,4.450099439573902
distractor ablation,FreqSel,en,-2.334375,3.0740720734890146
distractor ablation,FreqSel,fr,-7.731875,5.093083165746174
distractor ablation,FreqSel,de,-8.478125,5.125570652203745
distractor ablation,FreqSel,es,-7.7671875,4.685221194822383
distractor ablation,FreqSel,zh,-2.1828125,3.146765662440066
distractor ablation,FreqSel,ja,0.020625,0.12018996695467411
distractor ablation,FreqSel,ko,-7.3696875,4.577732146932512
amplification,FreqSel,en,-3.58,3.1130590042009105
amplification,FreqSel,fr,-1.26375,3.837814204226361
amplification,FreqSel,de,0.255,3.279220813152744
amplification,FreqSel,es,-1.1125,3.3270656035466195
amplification,FreqSel,zh,3.544375,3.446877074804544
amplification,FreqSel,ja,0.00375,0.0375
amplification,FreqSel,ko,2.8490625,3.9417216600967024
feature-intervention,FreqSel,en,-5.2378125,3.4308300044468654
feature-intervention,FreqSel,fr,-12.1234375,5.286995699662642
feature-intervention,FreqSel,de,-11.6771875,4.943843129781489
feature-intervention,FreqSel,es,-11.7978125,4.609762502972015
feature-intervention,FreqSel,zh,-4.3078125,4.524993231254355
feature-intervention,FreqSel,ja,0.045625,0.3196597731664216
feature-intervention,FreqSel,ko,-11.6165625,3.9582432580461027
