Experiment,Method,Run,mean,stdev
original,FreqSel,en,-10.241048237476809,1.2847993874739714
original,FreqSel,fr,-11.83224335188621,1.107997016687244
original,FreqSel,de,-11.829510667903524,1.2220689635583144
original,FreqSel,es,-12.140916821273963,1.1746070784141311
original,FreqSel,zh,-9.972935267857142,1.2292950297259648
original,FreqSel,ja,-9.42622260551948,0.9246488315246968
original,FreqSel,ko,-10.56500343301383,2.625066474473728
distractor ablation,FreqSel,en,-10.338497217068646,1.2400615345788077
distractor ablation,FreqSel,fr,-12.45316944959802,0.7805787097455865
distractor ablation,FreqSel,de,-12.244202226345083,1.2463978143864722
distractor ablation,FreqSel,es,-12.871289424860853,1.336470211253805
distractor ablation,FreqSel,zh,-10.014149587391774,1.448105909253511
distractor ablation,FreqSel,ja,-9.436072781385281,0.6771720427052947
distractor ablation,FreqSel,ko,-10.852757079394257,2.6952626732895864
amplification,FreqSel,en,-9.995682591218307,1.2075910361299365
amplification,FreqSel,fr,-11.783543985776129,1.3736195088267822
amplification,FreqSel,de,-10.83540120593692,1.70111127116897
amplification,FreqSel,es,-11.271571583178726,1.0806731585978886
amplification,FreqSel,zh,-9.367787811147187,1.2986289497047085
amplification,FreqSel,ja,-9.147382305194807,0.7078578504046227
amplification,FreqSel,ko,-8.793159224138874,2.1210388248045366
