Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.058924706246135,0.9199869591749714
original,FreqSel,fr,-13.481988249845392,1.694607574751705
original,FreqSel,de,-13.499706246134817,1.4590074724334121
original,FreqSel,es,-12.789649041434755,1.1938465000361513
original,FreqSel,zh,-12.462366409632036,2.727005324099421
original,FreqSel,ja,-12.755656452922079,1.4344593287785825
original,FreqSel,ko,-10.216703163275199,1.5484663425458656
distractor ablation,FreqSel,en,-11.37578849721707,0.8579700722309301
distractor ablation,FreqSel,fr,-14.022441249226963,1.3203029636929793
distractor ablation,FreqSel,de,-14.089502164502164,1.5019709164531712
distractor ablation,FreqSel,es,-13.591527520098948,1.2961139517466669
distractor ablation,FreqSel,zh,-13.035469088203465,2.8580172412731453
distractor ablation,FreqSel,ja,-13.43326231060606,1.615322468217775
distractor ablation,FreqSel,ko,-9.596578999794499,1.9101706848289866
amplification,FreqSel,en,-10.677164502164501,0.8779913956387181
amplification,FreqSel,fr,-12.815219155844156,1.8051685075719106
amplification,FreqSel,de,-11.480662492269634,1.6852570337259383
amplification,FreqSel,es,-11.960327767470625,1.290908664441701
amplification,FreqSel,zh,-9.765836377164502,1.8153528894338207
amplification,FreqSel,ja,-10.044118641774892,1.306577061707696
amplification,FreqSel,ko,-8.721171351841518,1.6271283748301362
feature-intervention,FreqSel,en,-13.062697124304266,1.385448126702938
feature-intervention,FreqSel,fr,-15.78797928262214,1.2906023461249136
feature-intervention,FreqSel,de,-15.562600494743352,1.3897397990639264
feature-intervention,FreqSel,es,-14.938110698824985,1.0523667515953277
feature-intervention,FreqSel,zh,-14.425595238095239,2.293483294126944
feature-intervention,FreqSel,ja,-15.031047077922079,1.329245835307625
feature-intervention,FreqSel,ko,-8.77935613210128,1.6140937204304617
