Experiment,Method,Run,mean,stdev
original,FreqSel,en,-9.8786951144094,1.0284380695052937
original,FreqSel,fr,-13.662959956709956,2.478238124531382
original,FreqSel,de,-13.859485157699442,2.3323669111501224
original,FreqSel,es,-12.676314162028447,1.7623712669784926
original,FreqSel,zh,-10.972132034632034,2.1203525302714867
original,FreqSel,ja,-11.273910984848484,1.6912175737077793
original,FreqSel,ko,-10.866086448006937,2.156825219756223
distractor ablation,FreqSel,en,-10.947862554112556,0.98965178895629
distractor ablation,FreqSel,fr,-14.426986703772418,2.2717258433080856
distractor ablation,FreqSel,de,-14.354479746444031,2.3618492733968406
distractor ablation,FreqSel,es,-13.2979939703154,1.8360048096093486
distractor ablation,FreqSel,zh,-11.514213000541124,2.224992564198759
distractor ablation,FreqSel,ja,-11.497272389069265,1.5595781069400312
distractor ablation,FreqSel,ko,-11.469418899151458,2.4802904128056986
amplification,FreqSel,en,-10.635911410018553,1.0145261282609066
amplification,FreqSel,fr,-12.112217841682128,2.543863262530994
amplification,FreqSel,de,-12.643262987012987,2.8798463129694505
amplification,FreqSel,es,-12.32892316017316,1.8666179490848323
amplification,FreqSel,zh,-9.867458062770563,1.5465092900189306
amplification,FreqSel,ja,-10.30036525974026,1.1017039155501727
amplification,FreqSel,ko,-9.547617530288482,2.048661014631194
