Experiment,Method,Run,mean,stdev
original,FreqSel,en,-10.62650742115028,1.1123159832464922
original,FreqSel,fr,-12.104356060606062,0.8939331142242194
original,FreqSel,de,-12.889560142238713,1.5534827661137895
original,FreqSel,es,-10.023130701144094,1.4746073542933953
original,FreqSel,zh,-9.817040381493507,1.255471096244076
original,FreqSel,ja,-9.802866274350649,0.9388989156333327
original,FreqSel,ko,-10.04411049209723,1.5501151799579311
distractor ablation,FreqSel,en,-11.07496521335807,1.167532496135581
distractor ablation,FreqSel,fr,-12.698786332714905,0.6304827572314319
distractor ablation,FreqSel,de,-13.339355287569573,1.4555097276717124
distractor ablation,FreqSel,es,-10.030963976499692,1.3717008161524669
distractor ablation,FreqSel,zh,-10.208257237554111,1.4277927831729516
distractor ablation,FreqSel,ja,-10.184933035714286,0.9514805660511191
distractor ablation,FreqSel,ko,-10.33904126592043,1.955213006685735
amplification,FreqSel,en,-10.44138837353123,1.0700229337896616
amplification,FreqSel,fr,-10.222920531849102,0.7149284345308148
amplification,FreqSel,de,-10.830755256648114,1.7217329824673417
amplification,FreqSel,es,-9.732297464440322,1.3895371419333993
amplification,FreqSel,zh,-8.82913961038961,1.1396946253826097
amplification,FreqSel,ja,-8.917759063852815,0.9897533109747286
amplification,FreqSel,ko,-8.512083208527551,1.563484995326555
feature-intervention,FreqSel,en,-11.860157699443414,1.3470679669398355
feature-intervention,FreqSel,fr,-14.267292826221396,0.9345002721239732
feature-intervention,FreqSel,de,-14.636069882498456,1.500073613605015
feature-intervention,FreqSel,es,-9.758078231292517,1.3966186345245661
feature-intervention,FreqSel,zh,-11.631080264136903,1.4294362971350647
feature-intervention,FreqSel,ja,-11.72692543459145,0.7841804287560141
feature-intervention,FreqSel,ko,-12.018412169555322,2.585805969133388
