Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.146304885590599,0.9604938105642383
original,FreqSel,fr,-12.644631261595547,1.3087950635583263
original,FreqSel,de,-12.36601345083488,1.7125646385224014
original,FreqSel,es,-9.94519219619666,1.2714778477359554
original,FreqSel,zh,-10.629608022186147,1.715382653357741
original,FreqSel,ja,-10.832185132575757,1.3138628478966952
original,FreqSel,ko,-10.526339166037507,1.895741187824274
distractor ablation,FreqSel,en,-11.503184910327766,0.6667285139849669
distractor ablation,FreqSel,fr,-13.212901978973408,0.9927555217125765
distractor ablation,FreqSel,de,-12.944495980210265,1.3869385724135241
distractor ablation,FreqSel,es,-10.059367269635127,1.1788533010086377
distractor ablation,FreqSel,zh,-11.204870975378787,1.8109952243923568
distractor ablation,FreqSel,ja,-11.65895858698593,0.7654762686535689
distractor ablation,FreqSel,ko,-10.823158465046175,1.9900408192922716
amplification,FreqSel,en,-10.952551020408164,0.6139276176738904
amplification,FreqSel,fr,-10.575931508967225,1.0174894089125097
amplification,FreqSel,de,-10.831265460729748,1.3535412314774908
amplification,FreqSel,es,-9.600036719233147,1.0415116407217069
amplification,FreqSel,zh,-9.616959212662337,1.3495763550289652
amplification,FreqSel,ja,-9.968293425324676,1.0002528529866905
amplification,FreqSel,ko,-9.078214133553812,1.7095966634874007
feature-intervention,FreqSel,en,-12.123790197897339,0.9191870735492444
feature-intervention,FreqSel,fr,-14.777682436611007,1.3520532175679105
feature-intervention,FreqSel,de,-14.027837043908473,1.3607469620429702
feature-intervention,FreqSel,es,-9.597732104205319,1.079908924182486
feature-intervention,FreqSel,zh,-11.963178626386634,1.7719418883303621
feature-intervention,FreqSel,ja,-12.393168924174784,0.75167228876458
feature-intervention,FreqSel,ko,-12.7609393464417,2.752121709528943
