Experiment,Method,Run,mean,stdev
original,FreqSel,en,-10.200355596784167,0.7974263371495991
original,FreqSel,fr,-11.77952612863327,0.9534236898737178
original,FreqSel,de,-11.554615027829314,1.16081708953353
original,FreqSel,es,-11.282108070500927,1.6824182068683193
original,FreqSel,zh,-9.242373511904761,0.9068725952221921
original,FreqSel,ja,-9.692028544372294,1.0102374506542324
original,FreqSel,ko,-9.593492344447544,1.3550753098391777
distractor ablation,FreqSel,en,-10.377875695732838,0.7100154024519868
distractor ablation,FreqSel,fr,-12.378231292517006,0.8988958395129576
distractor ablation,FreqSel,de,-11.800525664811378,0.9890243821496211
distractor ablation,FreqSel,es,-12.258766233766234,1.6728000298199488
distractor ablation,FreqSel,zh,-9.589801474567098,1.1502535512250434
distractor ablation,FreqSel,ja,-9.962366409632034,0.9556397038272404
distractor ablation,FreqSel,ko,-9.826313760367428,1.731865138622469
amplification,FreqSel,en,-9.97379019789734,0.704301005104789
amplification,FreqSel,fr,-10.688284632034632,1.0351073638071397
amplification,FreqSel,de,-10.82222866419295,1.289027739312207
amplification,FreqSel,es,-10.68143166357452,1.483892500534865
amplification,FreqSel,zh,-8.681336241883118,0.6785745450184147
amplification,FreqSel,ja,-9.218195346320346,0.7756921517663763
amplification,FreqSel,ko,-8.0741915149849,1.3387953015168963
feature-intervention,FreqSel,en,-11.216701453308596,1.186207307357062
feature-intervention,FreqSel,fr,-13.902156771799628,1.0056685422618503
feature-intervention,FreqSel,de,-13.30877009894867,1.2460102201936603
feature-intervention,FreqSel,es,-12.836912492269635,1.1752997602939186
feature-intervention,FreqSel,zh,-8.702034293831169,0.7104958915825771
feature-intervention,FreqSel,ja,-9.486003449675325,1.630296899958793
feature-intervention,FreqSel,ko,-12.976043307948178,2.591063381886385
