Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.664896413110698,1.0857216475769413
original,FreqSel,fr,-11.533124613481757,1.4928403014616576
original,FreqSel,de,-14.230558132343846,1.6826569989051208
original,FreqSel,es,-10.830047928262214,0.9433753120117963
original,FreqSel,zh,-11.078573119588745,2.012297985519468
original,FreqSel,ja,-11.391529694264069,1.6224955973779809
original,FreqSel,ko,-10.604308577679118,1.7497552241275345
distractor ablation,FreqSel,en,-12.163570655534942,0.9080310725269197
distractor ablation,FreqSel,fr,-11.860153834260975,1.624519823146012
distractor ablation,FreqSel,de,-14.772963048855905,1.6257206460290754
distractor ablation,FreqSel,es,-11.432521645021646,0.9399308457870935
distractor ablation,FreqSel,zh,-11.615811434659092,1.930766135887278
distractor ablation,FreqSel,ja,-12.198882237554113,1.2392290400422734
distractor ablation,FreqSel,ko,-11.196221086090686,2.297814867743055
amplification,FreqSel,en,-11.599501391465678,0.7567385399506529
amplification,FreqSel,fr,-9.943889146567718,1.236122560930184
amplification,FreqSel,de,-11.867710265924552,1.6913408923359867
amplification,FreqSel,es,-10.049447278911563,0.8578288877973628
amplification,FreqSel,zh,-9.793129396645023,1.3729116249786457
amplification,FreqSel,ja,-10.478497023809524,0.9613636567406835
amplification,FreqSel,ko,-9.166031537737165,1.8645257251767906
feature-intervention,FreqSel,en,-12.094036023500308,1.4839670538175467
feature-intervention,FreqSel,fr,-10.0349451144094,1.3460713519754894
feature-intervention,FreqSel,de,-14.491141001855286,1.9107827909680486
feature-intervention,FreqSel,es,-12.040769944341374,0.9355784337191501
feature-intervention,FreqSel,zh,-11.9242014699168,1.9595763008678562
feature-intervention,FreqSel,ja,-11.966120045319263,0.7209122916380478
feature-intervention,FreqSel,ko,-12.698037232471112,2.7007417008151853
