Experiment,Method,Run,mean,stdev
original,FreqSel,en,-3.438125,2.5512347073911035
original,FreqSel,fr,-7.945,4.41855377066325
original,FreqSel,de,-8.6340625,4.928450133551909
original,FreqSel,es,-7.666875,4.189794288949294
original,FreqSel,zh,-2.435,3.1428394844873204
original,FreqSel,ja,0.0,0.0
original,FreqSel,ko,-9.2128125,2.830329620927525
distractor ablation,FreqSel,en,-3.41375,2.5639820794099464
distractor ablation,FreqSel,fr,-7.9625,4.427151291813513
distractor ablation,FreqSel,de,-9.04,4.998820252233662
distractor ablation,FreqSel,es,-7.701875,4.184241863419335
distractor ablation,FreqSel,zh,-2.448125,3.114477929705268
distractor ablation,FreqSel,ja,0.02,0.16640130389932026
distractor ablation,FreqSel,ko,-9.2371875,2.864048142153776
amplification,FreqSel,en,-3.85625,2.651375131584333
amplification,FreqSel,fr,0.394375,3.7380564748227982
amplification,FreqSel,de,1.165,3.784216477653924
amplification,FreqSel,es,1.09125,3.574054450431116
amplification,FreqSel,zh,3.0921875,3.415804396806287
amplification,FreqSel,ja,0.035,0.343743686810714
amplification,FreqSel,ko,2.0121875,3.3024877721684254
feature-intervention,FreqSel,en,-7.1246875,3.1571811901429854
feature-intervention,FreqSel,fr,-13.3271875,5.087173038704896
feature-intervention,FreqSel,de,-12.888125,4.6510879120677595
feature-intervention,FreqSel,es,-12.7309375,4.3122389921563355
feature-intervention,FreqSel,zh,-3.1859375,4.0976297132473585
feature-intervention,FreqSel,ja,0.034375,0.34375
feature-intervention,FreqSel,ko,-12.9971875,3.1587198900674665
