Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.91507807668522,1.5488525575770142
original,FreqSel,fr,-10.811715367965368,1.4746194584082304
original,FreqSel,de,-14.376345083487942,2.1508854172076677
original,FreqSel,es,-13.097116573902287,1.5399080872429187
original,FreqSel,zh,-11.637767180735931,2.1937470628901607
original,FreqSel,ja,-11.707125946969697,1.6722161186209772
original,FreqSel,ko,-11.240391249883743,2.608005835136505
distractor ablation,FreqSel,en,-12.46385667903525,1.3156693144924445
distractor ablation,FreqSel,fr,-10.858008658008657,1.5006662648736322
distractor ablation,FreqSel,de,-15.156505102040816,2.5807621775066534
distractor ablation,FreqSel,es,-13.391736239950527,1.4367008583117313
distractor ablation,FreqSel,zh,-12.298809101055195,2.209843132429968
distractor ablation,FreqSel,ja,-12.855994656385281,1.1342438711109215
distractor ablation,FreqSel,ko,-12.0829574285769,3.1796404794765407
amplification,FreqSel,en,-11.94913033395176,1.1730070091409128
amplification,FreqSel,fr,-9.998310915275201,1.3073736532907687
amplification,FreqSel,de,-12.63847016079159,2.3758842024762745
amplification,FreqSel,es,-11.402752009894867,1.0058563987197664
amplification,FreqSel,zh,-10.004751758658008,1.455234182191205
amplification,FreqSel,ja,-10.635477543290042,1.095491350531756
amplification,FreqSel,ko,-9.461175541383545,2.0749526814858927
