Experiment,Method,Run,mean,stdev
original,FreqSel,en,0.0,0.0
original,FreqSel,fr,-7.42125,4.651996184163821
original,FreqSel,de,-7.411875,4.017049512984963
original,FreqSel,es,-7.430625,4.076359371935535
original,FreqSel,zh,-3.9175,2.222721140331546
original,FreqSel,ja,-3.5375,2.103875992524082
original,FreqSel,ko,-10.404375,2.903955730677092
distractor ablation,FreqSel,en,0.00125,0.0125
distractor ablation,FreqSel,fr,-7.425625,4.653048438343481
distractor ablation,FreqSel,de,-7.464375,4.115665661254237
distractor ablation,FreqSel,es,-7.426875,4.073572275374775
distractor ablation,FreqSel,zh,-3.878125,2.2073749885956797
distractor ablation,FreqSel,ja,-5.425625,2.223072862366164
distractor ablation,FreqSel,ko,-10.471875,2.8430700430293143
amplification,FreqSel,en,0.005,0.05
amplification,FreqSel,fr,-3.263125,3.136925414709361
amplification,FreqSel,de,-1.755625,2.4970483680535684
amplification,FreqSel,es,-3.339375,2.6319840802830927
amplification,FreqSel,zh,3.1234375,2.618537525884131
amplification,FreqSel,ja,1.364375,3.1690587929552634
amplification,FreqSel,ko,-1.706875,2.790432435781525
feature-intervention,FreqSel,en,0.00125,0.0125
feature-intervention,FreqSel,fr,-6.838125,4.4231486079437285
feature-intervention,FreqSel,de,-7.07625,3.8310947432578826
feature-intervention,FreqSel,es,-6.699375,3.8357894696436734
feature-intervention,FreqSel,zh,-3.88125,1.8446084929936333
feature-intervention,FreqSel,ja,-5.08875,2.2545580234966525
feature-intervention,FreqSel,ko,-9.35875,2.7273461427408208
