Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.439838435374151,1.0489635501834338
original,FreqSel,fr,-13.41502009894867,1.3479978683916842
original,FreqSel,de,-11.741944959802101,0.9051865396750007
original,FreqSel,es,-12.905125231910946,1.098788952027622
original,FreqSel,zh,-11.425045657467532,2.168674346876069
original,FreqSel,ja,-11.709593141233766,1.6859268406987835
original,FreqSel,ko,-9.635309376436123,1.2679328607494804
distractor ablation,FreqSel,en,-11.987063234384664,0.8596898590256908
distractor ablation,FreqSel,fr,-13.968405998763142,1.2541239323557316
distractor ablation,FreqSel,de,-11.685579004329004,0.9734582287448086
distractor ablation,FreqSel,es,-13.827922077922079,1.3094982530182446
distractor ablation,FreqSel,zh,-12.413643973214286,2.287393620986534
distractor ablation,FreqSel,ja,-12.554664671266234,1.4007039264397736
distractor ablation,FreqSel,ko,-9.506762951762736,1.5416340333259253
amplification,FreqSel,en,-11.489904143475572,0.9291413121143169
amplification,FreqSel,fr,-11.65941944959802,1.7379010478080168
amplification,FreqSel,de,-10.289254792826222,1.2046496757981453
amplification,FreqSel,es,-12.097062461348175,1.0479752855469922
amplification,FreqSel,zh,-9.638012378246755,1.3196423239965727
amplification,FreqSel,ja,-10.3961360254329,1.123216164719707
amplification,FreqSel,ko,-8.124925672173166,0.896311010684855
feature-intervention,FreqSel,en,-11.759570191713049,1.4307302304454208
feature-intervention,FreqSel,fr,-14.38428416821274,1.481779245869954
feature-intervention,FreqSel,de,-10.30457251082251,1.2529106351781225
feature-intervention,FreqSel,es,-14.170454545454545,1.105063460166337
feature-intervention,FreqSel,zh,-12.86835377350514,1.9648714423808584
feature-intervention,FreqSel,ja,-13.516387648809523,1.5101895505031073
feature-intervention,FreqSel,ko,-11.109456653755254,1.9805956831831137
