Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.914134972170686,1.4908749653289608
original,FreqSel,fr,-14.344573283858997,1.962539174329494
original,FreqSel,de,-14.014900278293137,1.6310418262998496
original,FreqSel,es,-13.746424706246135,1.6343477799128836
original,FreqSel,zh,-13.188392011634198,3.075926933651707
original,FreqSel,ja,-13.165759435876623,1.6115911744593976
original,FreqSel,ko,-10.183240603064956,1.4077620938302695
distractor ablation,FreqSel,en,-12.149907235621521,1.32354795846009
distractor ablation,FreqSel,fr,-14.766009585652442,1.7321190874158956
distractor ablation,FreqSel,de,-14.637588899196043,1.8625611174541916
distractor ablation,FreqSel,es,-14.324033704390846,1.7881478870766705
distractor ablation,FreqSel,zh,-13.710058170995671,2.9191684873479704
distractor ablation,FreqSel,ja,-13.805101799242424,1.5337420781358968
distractor ablation,FreqSel,ko,-10.063510210908094,1.823211817738852
amplification,FreqSel,en,-11.692404916512059,1.4124711280250872
amplification,FreqSel,fr,-12.722162956091527,2.284961554839585
amplification,FreqSel,de,-12.558016388373531,1.927689758844342
amplification,FreqSel,es,-12.860644712430426,1.4877436594268938
amplification,FreqSel,zh,-10.427057968073594,1.918300745788134
amplification,FreqSel,ja,-11.05839759199134,0.9684621604028915
amplification,FreqSel,ko,-8.725968078271348,1.2089572948383156
