Experiment,Method,Run,mean,stdev
original,FreqSel,en,-4.540625,3.061003486657322
original,FreqSel,fr,-4.48,3.900392122866778
original,FreqSel,de,-8.871875,5.041826122885347
original,FreqSel,es,0.0,0.0
original,FreqSel,zh,-11.255,3.239026735289351
original,FreqSel,ja,-13.284375,3.5526609101204665
original,FreqSel,ko,-14.37125,3.2066827217987792
distractor ablation,FreqSel,en,-4.54375,3.07966484262968
distractor ablation,FreqSel,fr,-4.510625,3.9599085282868582
distractor ablation,FreqSel,de,-9.47875,5.484116901967393
distractor ablation,FreqSel,es,0.05875,0.2451904794483693
distractor ablation,FreqSel,zh,-11.271875,3.267162519861366
distractor ablation,FreqSel,ja,-13.285625,3.551204347834092
distractor ablation,FreqSel,ko,-14.343125,3.170221974969704
amplification,FreqSel,en,-4.99375,3.362438041560518
amplification,FreqSel,fr,0.1934375,3.122886580176296
amplification,FreqSel,de,1.75640625,2.9714751041040697
amplification,FreqSel,es,0.07625,0.3821477879278929
amplification,FreqSel,zh,2.991875,3.9533127550533713
amplification,FreqSel,ja,3.3933203125,4.3110115501962145
amplification,FreqSel,ko,-6.603125,4.3042335407254635
