Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.833770098948671,1.23045281836786
original,FreqSel,fr,-12.882181508967223,1.3105070538169976
original,FreqSel,de,-14.088245980210266,1.6195403258042202
original,FreqSel,es,-13.401712275819419,1.6751293889272982
original,FreqSel,zh,-12.29087188852814,2.5930704638229005
original,FreqSel,ja,-12.742468208874458,1.5214316850723157
original,FreqSel,ko,-10.23714230053899,1.6607652379991045
distractor ablation,FreqSel,en,-12.131694495980211,1.0878301419333958
distractor ablation,FreqSel,fr,-13.3295183982684,1.2432527591945632
distractor ablation,FreqSel,de,-14.741566171923314,1.6189986105829537
distractor ablation,FreqSel,es,-14.260930735930737,1.6088356503211243
distractor ablation,FreqSel,zh,-13.08982261228355,2.93123868179508
distractor ablation,FreqSel,ja,-13.438195853625542,1.6083026613911202
distractor ablation,FreqSel,ko,-9.54821982450512,2.0802809140754546
amplification,FreqSel,en,-11.368205009276437,1.129835409752321
amplification,FreqSel,fr,-12.413794836116265,1.4322035679251133
amplification,FreqSel,de,-11.892667748917749,1.894595046594546
amplification,FreqSel,es,-12.429696196660483,1.5244700217234461
amplification,FreqSel,zh,-9.970348011363637,1.8921304804130172
amplification,FreqSel,ja,-10.19729437229437,1.1620197081127797
amplification,FreqSel,ko,-8.680558776855468,1.6990170522399926
feature-intervention,FreqSel,en,-13.957312925170068,1.5517603974060494
feature-intervention,FreqSel,fr,-15.027458256029686,0.9105408195723488
feature-intervention,FreqSel,de,-15.930217996289425,1.4969668544334427
feature-intervention,FreqSel,es,-15.187662337662337,1.4433875827150153
feature-intervention,FreqSel,zh,-14.581828327922079,2.135978504655254
feature-intervention,FreqSel,ja,-15.124905303030303,1.2373891951885687
feature-intervention,FreqSel,ko,-8.649860375668823,1.6493562218860969
