Experiment,Method,Run,mean,stdev
original,FreqSel,en,-9.722646103896105,0.45705643067540985
original,FreqSel,fr,-12.825722789115646,1.58296170280191
original,FreqSel,de,-13.14974876314162,1.8529286643748677
original,FreqSel,es,-11.701692949907237,1.040768216229638
original,FreqSel,zh,-9.771272997835498,1.2960249497118903
original,FreqSel,ja,-10.361843885281386,1.0599337020774495
original,FreqSel,ko,-9.923263797706582,1.6460328456899
distractor ablation,FreqSel,en,-10.454394712430426,0.6852152689510748
distractor ablation,FreqSel,fr,-13.546606369820655,1.5343192876987402
distractor ablation,FreqSel,de,-13.71156462585034,2.020263257866993
distractor ablation,FreqSel,es,-12.678223562152132,1.202521377403252
distractor ablation,FreqSel,zh,-10.47222715435606,1.5930438651736283
distractor ablation,FreqSel,ja,-10.473155100108226,1.0421401648802837
distractor ablation,FreqSel,ko,-10.013099478072478,1.8902684880050908
amplification,FreqSel,en,-10.07007189239332,0.646585380072969
amplification,FreqSel,fr,-12.1572530148423,1.8424481885536708
amplification,FreqSel,de,-12.2677682436611,2.420489036302102
amplification,FreqSel,es,-11.69139996907854,1.1339689900089132
amplification,FreqSel,zh,-8.883970846861471,1.1051252755555718
amplification,FreqSel,ja,-9.697756020021645,0.9012110970810925
amplification,FreqSel,ko,-8.79943135579427,1.7597630940528017
feature-intervention,FreqSel,en,-10.133928571428571,0.7756612269251484
feature-intervention,FreqSel,fr,-13.536518243661101,1.8389957234448202
feature-intervention,FreqSel,de,-13.488964904143476,1.8298979515293097
feature-intervention,FreqSel,es,-12.274323593073593,0.9694851228574302
feature-intervention,FreqSel,zh,-10.59329553909632,1.7260017424424068
feature-intervention,FreqSel,ja,-11.079160959483223,1.187285460637437
feature-intervention,FreqSel,ko,-10.263356197581572,1.7049798884157847
