Experiment,Method,Run,mean,stdev
original,FreqSel,en,-10.62650742115028,1.1123159832464922
original,FreqSel,fr,-12.104356060606062,0.8939331142242194
original,FreqSel,de,-12.889560142238713,1.5534827661137895
original,FreqSel,es,-10.023130701144094,1.4746073542933953
original,FreqSel,zh,-9.817040381493507,1.255471096244076
original,FreqSel,ja,-9.802866274350649,0.9388989156333327
original,FreqSel,ko,-10.04411049209723,1.5501151799579311
distractor ablation,FreqSel,en,-11.03005179344465,1.1431288994881659
distractor ablation,FreqSel,fr,-12.662190785405071,0.6050732056194316
distractor ablation,FreqSel,de,-13.34352195423624,1.45267386675822
distractor ablation,FreqSel,es,-10.004168599257884,1.3637993986578933
distractor ablation,FreqSel,zh,-10.199115175189393,1.3655562616063337
distractor ablation,FreqSel,ja,-10.17680431547619,0.8968462169324042
distractor ablation,FreqSel,ko,-10.38412126813616,1.957210091227359
amplification,FreqSel,en,-10.493444650587508,1.055962639049336
amplification,FreqSel,fr,-10.203872912801485,0.7571112377184697
amplification,FreqSel,de,-10.956860698824984,1.677012402633399
amplification,FreqSel,es,-9.471621830550403,1.3552124571316921
amplification,FreqSel,zh,-9.00587628517316,1.043133803449162
amplification,FreqSel,ja,-8.711490462662338,0.7393180432593437
amplification,FreqSel,ko,-8.541969572863325,1.4889186365604743
feature-intervention,FreqSel,en,-11.45068413729128,1.1605262335297006
feature-intervention,FreqSel,fr,-13.947812306740877,0.7787223909312176
feature-intervention,FreqSel,de,-14.394016697588127,1.456432547459521
feature-intervention,FreqSel,es,-9.495728973407546,1.3743616793740678
feature-intervention,FreqSel,zh,-11.021855606145156,1.147113871711718
feature-intervention,FreqSel,ja,-11.199780590503247,0.6402464931337537
feature-intervention,FreqSel,ko,-11.760592557335434,2.4007134259146516
