Experiment,Method,Run,mean,stdev
original,FreqSel,en,-10.019534632034633,0.8307171501564147
original,FreqSel,fr,-11.648782467532468,0.44664090341635043
original,FreqSel,de,-11.847155225726654,0.874408642048328
original,FreqSel,es,-11.796954236239952,1.32117871154908
original,FreqSel,zh,-9.536788081709958,0.9020553716574964
original,FreqSel,ja,-9.309444331709956,0.7995267153585203
original,FreqSel,ko,-10.060390337775734,1.8213523382470522
distractor ablation,FreqSel,en,-10.137987012987013,0.821314978750764
distractor ablation,FreqSel,fr,-12.243893011750155,0.30003377521969976
distractor ablation,FreqSel,de,-12.2370670995671,0.7181753644601531
distractor ablation,FreqSel,es,-12.451905534941249,1.400373374997382
distractor ablation,FreqSel,zh,-9.521446327110388,1.0039606867425919
distractor ablation,FreqSel,ja,-9.514774418290044,0.6728001312849167
distractor ablation,FreqSel,ko,-10.544820867800244,2.257063805067192
amplification,FreqSel,en,-9.922456709956709,0.8990570856006311
amplification,FreqSel,fr,-10.797897340754483,0.897976428490491
amplification,FreqSel,de,-11.123032622139764,1.449607164341508
amplification,FreqSel,es,-11.15675247371676,1.2755210515333677
amplification,FreqSel,zh,-8.918256222943723,0.7167081166938064
amplification,FreqSel,ja,-8.715466044372294,0.5931926912506192
amplification,FreqSel,ko,-8.461408411020658,1.8474893581459102
feature-intervention,FreqSel,en,-11.824679189857761,1.3821760735115334
feature-intervention,FreqSel,fr,-13.797611317254175,0.9807885631817321
feature-intervention,FreqSel,de,-13.906145640074213,1.5570284131271654
feature-intervention,FreqSel,es,-13.474470470006183,1.401370009694769
feature-intervention,FreqSel,zh,-8.910849567099566,0.7024620592066304
feature-intervention,FreqSel,ja,-9.204061823593074,1.0975040975222217
feature-intervention,FreqSel,ko,-13.565917455849528,2.9821730229861774
