Experiment,Method,Run,mean,stdev
original,FreqSel,en,3.4590625,3.3510204723757755
original,FreqSel,fr,-0.7828125,4.337504764410244
original,FreqSel,de,0.0,0.0
original,FreqSel,es,-0.3325,3.3641787799753393
original,FreqSel,zh,3.171875,3.521806784471071
original,FreqSel,ja,-0.66578125,4.428456724915485
original,FreqSel,ko,-3.830625,3.9594027163930683
distractor ablation,FreqSel,en,3.418125,3.349999116632629
distractor ablation,FreqSel,fr,-0.7878125,4.3269212808503354
distractor ablation,FreqSel,de,0.00125,0.0125
distractor ablation,FreqSel,es,-0.3378125,3.346817232286829
distractor ablation,FreqSel,zh,0.24,2.8663230942809084
distractor ablation,FreqSel,ja,-0.7025,4.556122912902454
distractor ablation,FreqSel,ko,-4.15546875,3.943511909098501
amplification,FreqSel,en,3.32625,3.4069125826706497
amplification,FreqSel,fr,2.61953125,3.742593416282444
amplification,FreqSel,de,0.085625,0.5736930001835441
amplification,FreqSel,es,4.2540625,3.9800928415036547
amplification,FreqSel,zh,11.338125,4.385686308560606
amplification,FreqSel,ja,8.8734375,4.279839393341381
amplification,FreqSel,ko,4.7909375,4.123045084571945
feature-intervention,FreqSel,en,-2.2490625,3.322931375834263
feature-intervention,FreqSel,fr,-5.2978125,4.465835197143894
feature-intervention,FreqSel,de,0.0875,0.5817755172961926
feature-intervention,FreqSel,es,-4.6103125,3.7633795801260663
feature-intervention,FreqSel,zh,-6.1978125,3.16383088923468
feature-intervention,FreqSel,ja,-8.573125,4.067077403732875
feature-intervention,FreqSel,ko,-10.7490625,4.3121487720206435
