Experiment,Method,Run,mean,stdev
original,FreqSel,en,-3.7925,2.3286085822423934
original,FreqSel,fr,-9.3975,4.322781076734483
original,FreqSel,de,-10.875,4.44819720036481
original,FreqSel,es,-8.67,3.413686801063855
original,FreqSel,zh,0.0,0.0
original,FreqSel,ja,-4.2821875,3.6227991375982436
original,FreqSel,ko,-11.3475,3.4114349264753328
distractor ablation,FreqSel,en,-3.7425,2.328988107754225
distractor ablation,FreqSel,fr,-9.3975,4.322781076734483
distractor ablation,FreqSel,de,-11.029375,4.4230090878024235
distractor ablation,FreqSel,es,-8.67375,3.413900626464358
distractor ablation,FreqSel,zh,0.033125,0.3070169226326593
distractor ablation,FreqSel,ja,-4.57375,3.6510987951048604
distractor ablation,FreqSel,ko,-10.845625,3.336131105700013
amplification,FreqSel,en,-4.125625,2.51458019507223
amplification,FreqSel,fr,-2.749375,3.4102685728938824
amplification,FreqSel,de,-1.3565625,3.2977477122967325
amplification,FreqSel,es,-4.11125,2.9190815219548396
amplification,FreqSel,zh,0.056875,0.2878668882109973
amplification,FreqSel,ja,0.829375,3.7291995194930063
amplification,FreqSel,ko,-2.42078125,3.6697129588784314
feature-intervention,FreqSel,en,-8.6325,3.0954828199957576
feature-intervention,FreqSel,fr,-13.811875,4.358161091894613
feature-intervention,FreqSel,de,-15.63,4.416333249278962
feature-intervention,FreqSel,es,-13.00875,3.7074396693021385
feature-intervention,FreqSel,zh,0.055,0.2834725593760213
feature-intervention,FreqSel,ja,-7.815625,5.740078279819849
feature-intervention,FreqSel,ko,-15.870625,3.4506721343329065
