Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.833770098948671,1.23045281836786
original,FreqSel,fr,-12.882181508967223,1.3105070538169976
original,FreqSel,de,-14.088245980210266,1.6195403258042202
original,FreqSel,es,-13.401712275819419,1.6751293889272982
original,FreqSel,zh,-12.29087188852814,2.5930704638229005
original,FreqSel,ja,-12.742468208874458,1.5214316850723157
original,FreqSel,ko,-10.23714230053899,1.6607652379991045
distractor ablation,FreqSel,en,-12.110594465058751,1.1105360257893122
distractor ablation,FreqSel,fr,-13.294086270871986,1.3021963957263156
distractor ablation,FreqSel,de,-14.761085343228201,1.5846377960540892
distractor ablation,FreqSel,es,-14.14433364254793,1.7644355286745825
distractor ablation,FreqSel,zh,-13.122273234577921,2.945089665467929
distractor ablation,FreqSel,ja,-13.434713203463204,1.6181197865034922
distractor ablation,FreqSel,ko,-9.577465473036138,2.069037109108743
amplification,FreqSel,en,-11.597348484848485,1.095762589281977
amplification,FreqSel,fr,-11.828950216450218,1.6644452325389205
amplification,FreqSel,de,-12.26482683982684,1.8326933052578411
amplification,FreqSel,es,-12.161920222634508,1.4660660546768738
amplification,FreqSel,zh,-10.203835227272728,1.7884085950589828
amplification,FreqSel,ja,-10.590455898268399,1.1418523791641793
amplification,FreqSel,ko,-8.68413663484803,1.6267975632084557
feature-intervention,FreqSel,en,-13.574366110080396,1.5429985380422226
feature-intervention,FreqSel,fr,-14.695238095238095,1.0494636763302043
feature-intervention,FreqSel,de,-15.7023964131107,1.620073095750147
feature-intervention,FreqSel,es,-15.018243661100803,1.5577127150048755
feature-intervention,FreqSel,zh,-14.473789231601732,2.277223384046407
feature-intervention,FreqSel,ja,-15.017436079545453,1.2439987830763868
feature-intervention,FreqSel,ko,-8.654151499772272,1.591576204707778
