Experiment,Method,Run,mean,stdev
original,FreqSel,en,-6.2540625,2.7069039606608065
original,FreqSel,fr,-12.06375,4.827059505767691
original,FreqSel,de,-12.1275,4.647144637605794
original,FreqSel,es,-11.935625,4.25677615445852
original,FreqSel,zh,-3.5275,3.8491759251858446
original,FreqSel,ja,0.0,0.0
original,FreqSel,ko,-12.068125,3.1789918510060113
distractor ablation,FreqSel,en,-6.2828125,2.700152910086246
distractor ablation,FreqSel,fr,-12.0603125,4.818383715968651
distractor ablation,FreqSel,de,-12.4121875,4.727334311201973
distractor ablation,FreqSel,es,-11.951875,4.234223680158042
distractor ablation,FreqSel,zh,-3.57,3.8937340398038582
distractor ablation,FreqSel,ja,0.04625,0.313145797359697
distractor ablation,FreqSel,ko,-12.006875,3.1473806524776933
amplification,FreqSel,en,-6.6846875,2.72639698330498
amplification,FreqSel,fr,-4.846875,3.6453097567769923
amplification,FreqSel,de,-3.5984375,3.4174933606991806
amplification,FreqSel,es,-5.9328125,3.0644943484341094
amplification,FreqSel,zh,3.0528125,3.060333749289306
amplification,FreqSel,ja,0.049375,0.35547829761570193
amplification,FreqSel,ko,-1.1553125,3.1450507474055667
