Experiment,Method,Run,mean,stdev
original,FreqSel,en,-11.439838435374151,1.0489635501834338
original,FreqSel,fr,-13.41502009894867,1.3479978683916842
original,FreqSel,de,-11.741944959802101,0.9051865396750007
original,FreqSel,es,-12.905125231910946,1.098788952027622
original,FreqSel,zh,-11.425045657467532,2.168674346876069
original,FreqSel,ja,-11.709593141233766,1.6859268406987835
original,FreqSel,ko,-9.635309376436123,1.2679328607494804
distractor ablation,FreqSel,en,-11.987063234384664,0.8596898590256908
distractor ablation,FreqSel,fr,-13.972139764996907,1.2518798685026047
distractor ablation,FreqSel,de,-11.685849567099567,0.9766219871798212
distractor ablation,FreqSel,es,-13.822564935064934,1.315105417886973
distractor ablation,FreqSel,zh,-12.51956507034632,2.35171221075963
distractor ablation,FreqSel,ja,-12.555557528409091,1.400208516005433
distractor ablation,FreqSel,ko,-9.484193792263,1.528594793198839
amplification,FreqSel,en,-11.509608843537416,0.9764243198050302
amplification,FreqSel,fr,-11.707884972170687,1.8331200472311922
amplification,FreqSel,de,-10.348921614100187,1.2369767425344147
amplification,FreqSel,es,-12.112221706864563,1.0425776847158599
amplification,FreqSel,zh,-9.802895021645023,1.4499986712167143
amplification,FreqSel,ja,-10.305472132034632,1.1424178760477663
amplification,FreqSel,ko,-8.189037487553614,0.9127726329692429
feature-intervention,FreqSel,en,-11.894785868893011,1.480804054574826
feature-intervention,FreqSel,fr,-14.45168521954236,1.4746724734410068
feature-intervention,FreqSel,de,-10.319318181818181,1.2506000864834312
feature-intervention,FreqSel,es,-14.253416821273964,1.1595624885417004
feature-intervention,FreqSel,zh,-12.98236744538014,1.9774346070582682
feature-intervention,FreqSel,ja,-13.609377219460228,1.4985904495668834
feature-intervention,FreqSel,ko,-11.255895619966736,2.07579323077586
