Experiment,Method,Run,mean,stdev
original,FreqSel,en,-1.824375,3.037664643561304
original,FreqSel,fr,-7.324375,5.252484794075557
original,FreqSel,de,-8.2509375,4.754059135423091
original,FreqSel,es,-6.5978125,4.254984114674231
original,FreqSel,zh,0.0,0.0
original,FreqSel,ja,-2.395625,2.9049012564930234
original,FreqSel,ko,-0.40375,3.5710061483587734
distractor ablation,FreqSel,en,-1.851875,3.0389368068512637
distractor ablation,FreqSel,fr,-7.324375,5.252484794075557
distractor ablation,FreqSel,de,-8.69,4.7514548708949675
distractor ablation,FreqSel,es,-6.62625,4.253454385656274
distractor ablation,FreqSel,zh,0.0,0.0
distractor ablation,FreqSel,ja,-3.0321875,3.012296764671981
distractor ablation,FreqSel,ko,-4.8525,2.899020210660523
amplification,FreqSel,en,-2.2825,3.190061112108967
amplification,FreqSel,fr,-1.601875,3.490954389181916
amplification,FreqSel,de,0.27625,2.853941043946639
amplification,FreqSel,es,-3.186875,3.6668764467365564
amplification,FreqSel,zh,0.043125,0.20865410910757246
amplification,FreqSel,ja,1.2209375,4.0976390536020615
amplification,FreqSel,ko,1.8896875,3.7356719515726238
feature-intervention,FreqSel,en,-10.029375,3.04344599523038
feature-intervention,FreqSel,fr,-14.74875,4.0915962701467485
feature-intervention,FreqSel,de,-16.333125,3.9646784770188317
feature-intervention,FreqSel,es,-13.76375,3.473606062621786
feature-intervention,FreqSel,zh,0.04375,0.19714262513841255
feature-intervention,FreqSel,ja,-8.113125,5.958993493572501
feature-intervention,FreqSel,ko,-14.056875,2.912687965387319
